"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","24","0","0","0","0"
"2","122","0","0","3","41"
"3","429","0","0","18","124"
"4","1225","129","129","46","253"
"5","3125","324","324","112","484"
"6","7253","551","551","224","752"
"7","15048","773","773","398","1208"
"8","28729","1001","1102","630","1712"
"9","51289","1227","1492","958","2626"
"10","85661","1476","1933","1404","3772"
"11","125589","1735","2371","1935","5131"
"12","170531","1971","2884","2572","6597"
"13","216937","2217","3472","3329","10671"
"14","272353","2331","3974","4207","13784"
"15","334511","2399","4404","5199","21357"
"16","398102","2431","4885","6296","24037"
"17","466932","2446","5402","7516","27995"
"18","531822","2456","5843","8862","33488"
"19","588724","2470","6243","10337","37243"
"20","645093","2484","6680","11916","40179"
"21","697456","2497","7142","13620","43714"
"22","748866","2504","7546","15438","49206"
"23","801957","2511","7903","17373","53413"
"24","855408","2515","8299","19427","57181"
"25","905934","2520","8756","21601","63012"
"26","957429","2522","9156","23881","68239"
"27","1021840","2527","9493","26272","82152"
"28","1082175","2528","9863","28787","86272"
"29","1134140","2534","10288","31400","90270"
"30","1184825","2536","10700","34126","92618"
"31","1230528","2536","11028","36986","95801"
"32","1279411","2538","11386","39946","99680"
"33","1321132","2540","11787","43022","103546"
"34","1360968","2541","12158","46191","106746"
"35","1391796","2542","12489","49459","110309"
"36","1421244","2542","12805","52828","112497"
"37","1444646","2543","13159","56270","114522"
"38","1464649","2544","13470","59786","116199"
"39","1483395","2544","13738","63365","117491"
"40","1499110","2544","13997","66992","119179"
"41","1512395","2544","14254","70662","120856"
"42","1520944","2544","14477","74384","121573"
"43","1527476","2545","14653","78148","122231"
"44","1532325","2545","14842","81945","122798"
"45","1535770","2547","15005","85775","123076"
"46","1538580","2547","15168","89627","123323"
"47","1540531","2548","15312","93496","123455"
"48","1542048","2548","15465","97377","123573"
"49","1543217","2548","15584","101266","123683"
"50","1544327","2548","15704","105167","123740"
"51","1545226","2548","15804","109076","123787"
"52","1546131","2548","15894","112991","123823"
"53","1546779","2548","15986","116912","123857"
"54","1547253","2548","16064","120840","123900"
"55","1547685","2548","16138","124775","123936"
"56","1548071","2548","16192","128715","123974"
"57","1548335","2548","16252","132656","123997"
"58","1548574","2548","16296","136602","124033"
"59","1548751","2548","16335","140551","124047"
"60","1548873","2548","16373","144501","124058"
"61","1548997","2548","16413","148452","124067"
"62","1549084","2548","16439","152405","124079"
"63","1549171","2548","16465","156361","124087"
"64","1549235","2548","16486","160318","124093"
"65","1549294","2548","16502","164276","124097"
"66","1549357","2548","16522","168236","124102"
"67","1549404","2548","16543","172197","124107"
"68","1549451","2548","16556","176159","124111"
"69","1549493","2549","16570","180122","124114"
"70","1549530","2549","16587","184086","124115"
"71","1549566","2549","16603","188051","124118"
"72","1549603","2549","16610","192017","124123"
"73","1549642","2549","16620","195984","124127"
"74","1549676","2549","16631","199952","124131"
"75","1549708","2549","16646","203921","124135"
"76","1549739","2549","16652","207892","124138"
"77","1549775","2549","16662","211864","124139"
"78","1549811","2549","16673","215837","124140"
"79","1549834","2549","16683","219811","124141"
"80","1549855","2549","16686","223786","124143"
"81","1549875","2549","16691","227762","124144"
"82","1549896","2549","16699","231739","124145"
"83","1549915","2549","16705","235717","124147"
"84","1549935","2549","16709","239696","124148"
"85","1549954","2549","16715","243676","124149"
"86","1549977","2549","16723","247657","124150"
"87","1549998","2549","16731","251639","124153"
"88","1550018","2549","16734","255622","124154"
"89","1550039","2550","16740","259606","124155"
"90","1550060","2550","16745","263590","124155"
"91","1550080","2550","16751","267574","124155"
"92","1550100","2550","16755","271558","124155"
"93","1550119","2550","16757","275542","124155"
"94","1550137","2550","16763","279526","124155"
"95","1550153","2550","16765","283510","124155"
"96","1550168","2551","16769","287494","124155"
"97","1550180","2551","16776","291478","124155"
"98","1550191","2551","16780","295462","124156"
"99","1550202","2551","16782","299446","124156"
"100","1550213","2551","16785","303430","124156"
