"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","27","0","0","0","0"
"2","151","0","0","3","41"
"3","502","0","0","18","124"
"4","1303","129","129","46","253"
"5","3519","324","324","113","476"
"6","7630","552","552","225","758"
"7","15335","774","774","396","1185"
"8","28976","1004","1106","626","1678"
"9","51132","1230","1496","949","2587"
"10","85090","1476","1934","1389","3671"
"11","124604","1733","2372","1922","5044"
"12","169613","1969","2887","2556","6663"
"13","216989","2215","3476","3308","10273"
"14","274054","2330","3977","4187","14201"
"15","332907","2396","4402","5185","18876"
"16","390204","2427","4885","6278","21625"
"17","448291","2445","5407","7488","24438"
"18","509577","2453","5859","8813","29018"
"19","563006","2470","6256","10256","32969"
"20","614148","2482","6694","11801","35430"
"21","665079","2494","7156","13468","38837"
"22","717395","2507","7581","15242","44254"
"23","776399","2512","7944","17139","51736"
"24","831909","2516","8346","19149","55996"
"25","889966","2523","8791","21286","65033"
"26","942906","2528","9193","23527","70041"
"27","998177","2528","9535","25881","82516"
"28","1053062","2528","9897","28351","85860"
"29","1107814","2534","10308","30936","91679"
"30","1163961","2536","10698","33628","98625"
"31","1228240","2537","11048","36425","108733"
"32","1283402","2538","11422","39348","112200"
"33","1331814","2540","11815","42383","116681"
"34","1378857","2540","12192","45533","120284"
"35","1421567","2540","12520","48773","125229"
"36","1461254","2541","12852","52095","128145"
"37","1491633","2542","13181","55489","130634"
"38","1515652","2542","13490","58953","132259"
"39","1535160","2542","13765","62467","133584"
"40","1548517","2542","14002","66044","134302"
"41","1559051","2543","14277","69666","135170"
"42","1567693","2543","14506","73341","135907"
"43","1574327","2543","14701","77063","136527"
"44","1579200","2543","14861","80825","136952"
"45","1582650","2544","15042","84618","137284"
"46","1585217","2545","15219","88434","137464"
"47","1587824","2546","15360","92274","137626"
"48","1589596","2546","15473","96130","137736"
"49","1591514","2546","15612","100001","137834"
"50","1593160","2546","15742","103884","137995"
"51","1594038","2546","15846","107773","138028"
"52","1594503","2546","15923","111669","138052"
"53","1594852","2546","16019","115570","138071"
"54","1595168","2546","16108","119478","138102"
"55","1595400","2546","16189","123393","138110"
"56","1595583","2546","16239","127311","138121"
"57","1595723","2546","16293","131229","138129"
"58","1595874","2546","16338","135149","138142"
"59","1595999","2546","16386","139071","138154"
"60","1596121","2546","16412","142993","138157"
"61","1596224","2546","16453","146915","138159"
"62","1596312","2546","16484","150838","138159"
"63","1596426","2546","16515","154763","138175"
"64","1596505","2546","16528","158688","138183"
"65","1596570","2546","16546","162613","138184"
"66","1596627","2546","16566","166538","138184"
"67","1596667","2547","16579","170463","138184"
"68","1596714","2547","16588","174388","138185"
"69","1596760","2548","16597","178313","138185"
"70","1596806","2548","16610","182238","138185"
"71","1596851","2548","16615","186163","138186"
"72","1596886","2548","16621","190088","138186"
"73","1596920","2549","16629","194013","138187"
"74","1596954","2549","16639","197939","138189"
"75","1596988","2549","16646","201865","138190"
"76","1597029","2549","16649","205791","138190"
"77","1597070","2549","16656","209717","138190"
"78","1597103","2549","16667","213643","138191"
"79","1597134","2550","16674","217569","138191"
"80","1597168","2550","16680","221495","138191"
"81","1597199","2550","16688","225422","138191"
"82","1597229","2550","16694","229349","138191"
"83","1597258","2550","16698","233276","138191"
"84","1597288","2550","16704","237203","138191"
"85","1597317","2551","16712","241130","138191"
"86","1597340","2551","16717","245057","138191"
"87","1597363","2551","16724","248984","138191"
"88","1597385","2551","16728","252911","138191"
"89","1597408","2551","16734","256838","138191"
"90","1597429","2551","16737","260765","138191"
"91","1597451","2551","16747","264692","138191"
"92","1597469","2551","16756","268621","138192"
"93","1597487","2551","16761","272550","138192"
"94","1597505","2551","16764","276479","138192"
"95","1597532","2551","16771","280408","138192"
"96","1597556","2551","16778","284337","138192"
"97","1597577","2551","16782","288266","138192"
"98","1597597","2552","16787","292195","138192"
"99","1597616","2553","16795","296124","138192"
"100","1597631","2553","16802","300053","138192"
