alternative_routes_used,crossings,simulation_step,simulation_time,vehicles,waitings
0.0,0.0,1.0,29.0,0.0,0.0
10.0,0.0,2.0,79.9,0.0,0.0
34.0,0.0,3.0,199.8,0.0,1.0
62.0,36.0,4.0,439.9,36.0,3.0
128.4,82.7,5.0,958.5,82.7,8.3
197.3,146.0,6.0,1902.4,146.0,17.6
283.8,206.8,7.0,3480.7,206.8,31.9
398.4,298.8,8.0,6218.4,268.8,51.8
536.6,403.6,9.0,10487.7,333.6,80.6
778.0,515.0,10.0,16951.4,391.4,124.0
899.6,620.2,11.0,22787.1,449.4,171.6
1110.8,772.6,12.0,28985.3,522.8,223.2
1292.2,927.9,13.0,34766.3,587.0,285.2
1475.0,1058.4,14.0,40588.8,619.4,353.7
1687.4,1157.3,15.0,45933.5,630.0,431.0
1829.9,1298.4,16.0,51943.3,636.7,516.3
2180.3,1436.4,17.0,58543.9,637.0,608.4
3711.5,1557.8,18.0,68012.3,637.0,707.4
4723.8,1649.9,19.0,80278.2,637.0,814.5
5239.2,1774.3,20.0,95123.3,638.0,927.6
5520.1,1896.1,21.0,102980.1,638.0,1049.5
5685.5,2006.7,22.0,109527.7,638.0,1177.2
6080.8,2087.5,23.0,115900.1,638.0,1310.3
6162.5,2205.8,24.0,121926.8,639.0,1446.1
6261.7,2323.1,25.0,126819.6,639.6,1584.1
6409.0,2424.9,26.0,131374.2,639.8,1726.3
6525.3,2499.2,27.0,135627.2,639.9,1874.7
6618.0,2602.7,28.0,140414.7,639.9,2026.7
6728.8,2705.1,29.0,144315.5,640.0,2181.9
6856.8,2802.1,30.0,148047.3,640.0,2340.6
6969.4,2869.6,31.0,151319.4,640.0,2502.7
7051.2,2965.3,32.0,155554.9,640.0,2668.2
7126.1,3058.4,33.0,158717.0,640.0,2837.0
7177.5,3150.6,34.0,161060.3,640.0,3008.7
7223.3,3212.2,35.0,162569.6,640.0,3181.5
7248.5,3285.1,36.0,163596.8,640.0,3355.5
7267.7,3351.2,37.0,164158.6,640.0,3530.4
7280.7,3409.7,38.0,164506.6,640.0,3705.6
7292.2,3450.8,39.0,164721.7,640.0,3881.2
7297.6,3495.6,40.0,164860.6,640.0,4057.1
7300.3,3529.6,41.0,164926.9,640.0,4233.0
7301.7,3558.8,42.0,164958.3,640.0,4408.9
7302.4,3575.2,43.0,164972.0,640.0,4584.8
7303.3,3586.6,44.0,164980.6,640.0,4760.7
7303.5,3592.6,45.0,164985.8,640.0,4936.6
7304.0,3599.9,46.0,164990.0,640.0,5112.5
7304.4,3607.8,47.0,164993.4,640.0,5288.4
7304.6,3611.2,48.0,164995.3,640.0,5464.3
7304.9,3614.2,49.0,164997.0,640.0,5640.2
7305.0,3618.4,50.0,164998.5,640.0,5816.1
7305.1,3620.7,51.0,164999.5,640.0,5992.0
7305.2,3622.8,52.0,165000.1,640.0,6167.9
7305.3,3623.6,53.0,165000.7,640.0,6343.8
7305.4,3625.1,54.0,165001.0,640.0,6519.7
7305.5,3626.1,55.0,165001.6,640.0,6695.6
7168.333333333333,3628.1111111111113,56.0,166028.77777777778,640.0,6804.222222222223
7168.444444444444,3628.4444444444443,57.0,166029.0,640.0,6978.555555555556
7168.555555555556,3629.3333333333335,58.0,166029.44444444444,640.0,7152.888888888889
7168.666666666667,3630.222222222222,59.0,166029.55555555556,640.0,7327.222222222223
7168.666666666667,3630.4444444444443,60.0,166029.88888888888,640.0,7501.555555555556
7168.666666666667,3630.5555555555557,61.0,166030.22222222222,640.0,7675.888888888889
7168.666666666667,3631.1111111111113,62.0,166030.22222222222,640.0,7850.222222222223
7168.666666666667,3631.777777777778,63.0,166030.55555555556,640.0,8024.555555555556
6730.285714285715,3637.1428571428573,64.0,162749.85714285713,640.0,8341.142857142857
6730.285714285715,3637.1428571428573,65.0,162750.14285714287,640.0,8519.285714285714
6730.285714285715,3637.5714285714284,66.0,162750.2857142857,640.0,8697.42857142857
6174.0,3629.8,67.0,159331.6,640.0,8521.6
5979.75,3632.25,68.0,158070.0,640.0,8755.75
5979.75,3632.25,69.0,158070.0,640.0,8925.75
5979.75,3632.25,70.0,158070.5,640.0,9095.75
5979.75,3633.25,71.0,158071.0,640.0,9265.75
5940.333333333333,3632.0,72.0,161728.66666666666,640.0,9521.666666666666
5940.333333333333,3632.3333333333335,73.0,161728.66666666666,640.0,9692.666666666666
5940.333333333333,3632.3333333333335,74.0,161729.0,640.0,9863.666666666666
5940.333333333333,3633.0,75.0,161729.33333333334,640.0,10034.666666666666
5940.333333333333,3633.0,76.0,161729.33333333334,640.0,10205.666666666666
5940.333333333333,3633.0,77.0,161729.66666666666,640.0,10376.666666666666
5940.333333333333,3633.0,78.0,161730.0,640.0,10547.666666666666
5940.333333333333,3634.0,79.0,161730.0,640.0,10718.666666666666
5990.0,3616.5,80.0,162335.5,640.0,10699.0
5990.0,3617.0,81.0,162335.5,640.0,10867.5
5990.0,3617.0,82.0,162335.5,640.0,11036.0
5990.0,3617.5,83.0,162335.5,640.0,11204.5
5990.0,3617.5,84.0,162336.0,640.0,11373.0
5990.0,3618.0,85.0,162336.0,640.0,11541.5
5990.0,3618.0,86.0,162336.0,640.0,11710.0
5990.0,3618.5,87.0,162336.5,640.0,11878.5
5990.0,3618.5,88.0,162336.5,640.0,12047.0
5990.0,3619.0,89.0,162336.5,640.0,12215.5
5970.0,3612.0,90.0,164598.0,640.0,12319.0
5970.0,3613.0,91.0,164598.0,640.0,12487.0
5970.0,3613.0,92.0,164598.0,640.0,12655.0
5970.0,3613.0,93.0,164598.0,640.0,12823.0
5970.0,3613.0,94.0,164598.0,640.0,12991.0
5970.0,3614.0,95.0,164598.0,640.0,13159.0
5970.0,3614.0,96.0,164599.0,640.0,13327.0
5970.0,3614.0,97.0,164599.0,640.0,13495.0
5970.0,3614.0,98.0,164599.0,640.0,13663.0
5970.0,3615.0,99.0,164599.0,640.0,13831.0
