"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","24","0","0","0"
"2","139","0","0","42"
"3","475","0","0","119"
"4","1382","109","109","216"
"5","3697","274","274","416"
"6","8815","454","454","656"
"7","19110","668","668","1042"
"8","37938","856","924","1646"
"9","70603","1057","1223","2463"
"10","124706","1264","1558","3705"
"11","185775","1490","1910","4758"
"12","255300","1690","2269","6129"
"13","336226","1904","2699","8039"
"14","421126","2018","3034","10122"
"15","508953","2083","3352","12564"
"16","602630","2129","3663","15404"
"17","709468","2172","4033","19111"
"18","819943","2209","4317","22326"
"19","934814","2238","4577","27406"
"20","1045922","2265","4856","33266"
"21","1155412","2292","5157","37912"
"22","1265376","2316","5393","43977"
"23","1374837","2326","5613","47893"
"24","1473521","2341","5871","51683"
"25","1571779","2357","6124","56284"
"26","1662516","2375","6339","60803"
"27","1753673","2394","6570","66504"
"28","1854745","2407","6792","71790"
"29","1955214","2413","7021","76108"
"30","2060842","2420","7231","79849"
"31","2178263","2426","7434","84267"
"32","2298084","2429","7643","88662"
"33","2411353","2430","7867","92915"
"34","2526569","2435","8073","97108"
"35","2637010","2441","8281","101479"
"36","2742713","2444","8466","105594"
"37","2851169","2446","8670","110218"
"38","2964811","2450","8891","115178"
"39","3071453","2453","9069","120600"
"40","3175526","2455","9233","124953"
"41","3278505","2456","9406","128683"
"42","3374465","2457","9607","131678"
"43","3467058","2458","9777","134751"
"44","3548891","2460","9927","137440"
"45","3624923","2464","10113","139962"
"46","3692796","2466","10301","141911"
"47","3764027","2468","10462","143953"
"48","3831236","2469","10610","146101"
"49","3892224","2472","10786","148432"
"50","3949757","2472","10954","150418"
"51","4008465","2472","11119","152446"
"52","4067995","2472","11235","154391"
"53","4129470","2472","11397","156491"
"54","4192084","2472","11541","159249"
"55","4252714","2472","11699","161309"
"56","4310215","2473","11824","163391"
"57","4366863","2473","11980","165100"
"58","4419414","2473","12122","166920"
"59","4469076","2473","12270","168159"
"60","4515358","2474","12385","169384"
"61","4559872","2474","12538","170809"
"62","4603679","2475","12647","172235"
"63","4646304","2475","12769","173993"
"64","4683953","2475","12891","175569"
"65","4720254","2475","13012","176842"
"66","4756781","2475","13115","178284"
"67","4793916","2475","13229","179729"
"68","4828530","2475","13365","181230"
"69","4862558","2475","13470","182586"
"70","4892231","2475","13550","183910"
"71","4922538","2475","13653","184977"
"72","4953300","2475","13765","186291"
"73","4981656","2475","13866","187573"
"74","5008021","2475","13950","189012"
"75","5034282","2475","14040","190232"
"76","5058642","2476","14135","191425"
"77","5082343","2476","14232","192762"
"78","5105752","2476","14316","193947"
"79","5128203","2476","14398","194849"
"80","5150649","2476","14479","195856"
"81","5172240","2476","14568","196740"
"82","5191754","2476","14644","197544"
"83","5212362","2476","14723","198387"
"84","5230779","2476","14801","199147"
"85","5247624","2476","14881","199775"
"86","5263772","2476","14967","200424"
"87","5278374","2477","15046","200969"
"88","5292351","2477","15105","201435"
"89","5304792","2477","15174","201994"
"90","5316118","2477","15239","202467"
"91","5327720","2477","15308","202948"
"92","5339757","2477","15371","203483"
"93","5351765","2477","15444","203903"
"94","5364205","2477","15499","204485"
"95","5376652","2477","15560","205130"
"96","5387960","2477","15616","205731"
"97","5399257","2477","15678","206144"
"98","5410441","2477","15729","206804"
"99","5421284","2477","15786","207311"
"100","5430696","2477","15828","207750"
