"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","27","0","0","0"
"2","146","0","0","42"
"3","477","0","0","119"
"4","1381","109","109","216"
"5","3735","274","274","416"
"6","8846","454","454","656"
"7","19112","669","669","1042"
"8","37833","857","924","1626"
"9","70366","1058","1222","2427"
"10","124591","1264","1555","3660"
"11","185418","1492","1912","4699"
"12","254526","1694","2274","6069"
"13","333769","1905","2708","8125"
"14","417503","2023","3058","10440"
"15","503504","2089","3365","12873"
"16","594238","2134","3662","15876"
"17","683749","2173","4024","18603"
"18","780202","2214","4326","21510"
"19","884865","2245","4576","25516"
"20","994509","2269","4838","29975"
"21","1114811","2294","5138","34800"
"22","1225304","2322","5379","39221"
"23","1332096","2335","5625","44296"
"24","1441597","2349","5873","49356"
"25","1552630","2365","6115","54368"
"26","1664211","2381","6348","57890"
"27","1774113","2389","6575","62152"
"28","1881406","2405","6817","66689"
"29","1987423","2410","7027","70093"
"30","2087918","2420","7240","72873"
"31","2188150","2426","7454","76340"
"32","2288615","2433","7676","79719"
"33","2386458","2437","7882","83753"
"34","2486077","2445","8096","87815"
"35","2589060","2447","8272","91613"
"36","2687865","2454","8475","95097"
"37","2785854","2457","8673","98750"
"38","2875585","2459","8864","102585"
"39","2964959","2460","9048","106094"
"40","3051369","2461","9237","109157"
"41","3150236","2463","9436","112580"
"42","3242097","2465","9625","116205"
"43","3333747","2466","9812","118921"
"44","3434168","2466","9977","121946"
"45","3529053","2467","10165","125267"
"46","3617942","2468","10327","128404"
"47","3699978","2469","10528","131019"
"48","3769751","2471","10700","133587"
"49","3841703","2473","10870","135904"
"50","3916009","2474","11015","139043"
"51","3983243","2474","11176","142032"
"52","4053337","2474","11344","144643"
"53","4121552","2475","11503","146894"
"54","4186100","2476","11645","149309"
"55","4246551","2476","11787","151225"
"56","4307952","2477","11934","153343"
"57","4367216","2477","12083","155615"
"58","4423938","2477","12227","157777"
"59","4481029","2478","12366","160392"
"60","4540024","2479","12511","162908"
"61","4589419","2479","12646","165755"
"62","4641576","2479","12752","168268"
"63","4696034","2479","12881","170631"
"64","4746885","2479","13005","172397"
"65","4792888","2479","13110","174248"
"66","4838142","2479","13242","176010"
"67","4879635","2479","13358","178267"
"68","4918668","2479","13479","180589"
"69","4957590","2479","13580","182905"
"70","4997668","2479","13681","186401"
"71","5033964","2479","13795","188983"
"72","5069091","2479","13895","191024"
"73","5100650","2479","13986","193097"
"74","5131115","2479","14085","194800"
"75","5158910","2479","14187","196193"
"76","5184609","2480","14293","197417"
"77","5207576","2480","14399","198410"
"78","5229789","2480","14488","199245"
"79","5251805","2480","14570","200185"
"80","5276249","2480","14655","201640"
"81","5297344","2480","14764","203063"
"82","5317206","2480","14843","204334"
"83","5336738","2480","14914","205771"
"84","5356428","2480","14990","207091"
"85","5373896","2480","15072","208193"
"86","5389985","2480","15146","209247"
"87","5405977","2480","15231","210832"
"88","5418276","2480","15308","211433"
"89","5429966","2480","15364","211990"
"90","5441703","2480","15441","212542"
"91","5452515","2480","15520","213076"
"92","5462006","2480","15574","213498"
"93","5470430","2481","15641","213838"
"94","5478292","2481","15707","214215"
"95","5485815","2481","15765","214642"
"96","5493585","2481","15815","215036"
"97","5502070","2481","15879","215416"
"98","5510353","2481","15930","215846"
"99","5518571","2481","15985","216239"
"100","5526006","2481","16031","216689"
