"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","24","0","0","0"
"2","128","0","0","42"
"3","478","0","0","119"
"4","1368","109","109","216"
"5","3684","274","274","416"
"6","8781","454","454","656"
"7","19033","668","668","1042"
"8","37839","855","923","1642"
"9","70463","1054","1220","2472"
"10","124279","1261","1552","3690"
"11","184759","1486","1911","4753"
"12","251093","1690","2273","6193"
"13","329603","1906","2709","8144"
"14","413394","2022","3043","10453"
"15","506296","2093","3365","13043"
"16","605177","2143","3672","16149"
"17","708760","2184","4017","19211"
"18","819400","2213","4308","22601"
"19","947547","2241","4574","27607"
"20","1073298","2262","4824","33371"
"21","1195251","2287","5114","39212"
"22","1315771","2306","5350","47465"
"23","1429759","2322","5583","54083"
"24","1540595","2344","5824","59356"
"25","1650792","2358","6102","63563"
"26","1760102","2375","6313","67313"
"27","1866255","2388","6533","71354"
"28","1977020","2397","6754","77119"
"29","2085866","2412","6987","82425"
"30","2197141","2419","7164","87880"
"31","2301850","2426","7383","93266"
"32","2398900","2431","7612","97688"
"33","2494673","2436","7825","101691"
"34","2587867","2441","8025","106565"
"35","2689012","2447","8231","112173"
"36","2789637","2451","8393","117105"
"37","2892853","2454","8600","121971"
"38","2991438","2455","8790","126875"
"39","3087423","2460","8996","130716"
"40","3187002","2460","9177","135604"
"41","3284550","2461","9365","144425"
"42","3376757","2464","9552","150065"
"43","3463193","2465","9732","157371"
"44","3542613","2466","9890","161877"
"45","3621689","2466","10070","172397"
"46","3702786","2468","10227","177062"
"47","3788541","2468","10399","187885"
"48","3880772","2470","10542","223750"
"49","3970023","2470","10721","234376"
"50","4045022","2471","10868","240554"
"51","4118269","2471","11017","244684"
"52","4187543","2473","11164","247571"
"53","4256217","2474","11310","249805"
"54","4328841","2474","11448","252324"
"55","4400706","2474","11617","254784"
"56","4469301","2477","11764","257549"
"57","4534360","2477","11899","260085"
"58","4592264","2477","12041","262763"
"59","4641931","2477","12171","265237"
"60","4690037","2478","12309","267662"
"61","4748139","2478","12463","270821"
"62","4808886","2478","12601","273645"
"63","4866580","2478","12739","276932"
"64","4925431","2479","12873","280300"
"65","4973902","2479","12994","282552"
"66","5020005","2479","13110","285059"
"67","5059683","2479","13243","286925"
"68","5095618","2479","13358","288802"
"69","5128969","2479","13482","290549"
"70","5159481","2479","13582","292203"
"71","5188211","2479","13693","293642"
"72","5216723","2479","13810","295280"
"73","5245414","2479","13922","296900"
"74","5274500","2479","14007","298427"
"75","5303623","2479","14097","299893"
"76","5330158","2479","14202","301211"
"77","5358212","2479","14299","302768"
"78","5388771","2479","14391","304270"
"79","5420768","2479","14473","305779"
"80","5452151","2479","14574","307303"
"81","5483368","2479","14670","308356"
"82","5508429","2479","14748","309425"
"83","5532794","2479","14828","310332"
"84","5555150","2479","14907","311224"
"85","5578516","2480","14987","312089"
"86","5595603","2480","15057","313024"
"87","5613070","2480","15133","313816"
"88","5628601","2480","15196","314658"
"89","5643966","2480","15282","315318"
"90","5658888","2480","15339","316103"
"91","5674881","2480","15394","316834"
"92","5688702","2480","15458","317556"
"93","5701475","2480","15539","318148"
"94","5714425","2480","15592","318639"
"95","5727419","2480","15641","319129"
"96","5738666","2480","15688","319585"
"97","5750120","2480","15749","320003"
"98","5758462","2480","15808","320429"
"99","5767108","2480","15853","320755"
"100","5775786","2480","15893","321249"
