"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","267","0","0","0","0"
"2","733","0","0","8","0"
"3","1279","0","0","39","0"
"4","1999","26","26","102","0"
"5","3538","81","81","192","0"
"6","6520","124","124","325","0"
"7","10804","163","163","510","0"
"8","16742","203","225","734","0"
"9","25049","246","302","1004","0"
"10","36914","293","380","1346","0"
"11","48894","337","455","1729","0"
"12","60833","372","518","2154","0"
"13","74615","414","616","2613","0"
"14","88353","445","688","3122","0"
"15","103279","462","741","3661","0"
"16","117033","478","800","4224","0"
"17","129653","485","872","4818","0"
"18","142965","496","933","5450","0"
"19","155483","505","979","6116","0"
"20","167524","520","1033","6803","0"
"21","178859","525","1088","7506","0"
"22","188411","533","1130","8240","0"
"23","196946","538","1174","8989","0"
"24","204835","542","1215","9751","0"
"25","211822","545","1260","10523","0"
"26","217780","547","1304","11308","0"
"27","222775","551","1345","12110","0"
"28","227776","552","1380","12934","0"
"29","232438","555","1415","13776","0"
"30","237624","556","1454","14634","0"
"31","242599","557","1487","15501","0"
"32","246319","558","1515","16385","0"
"33","248536","562","1545","17284","0"
"34","250403","562","1572","18189","0"
"35","252339","564","1597","19106","0"
"36","254221","564","1621","20038","0"
"37","256154","567","1655","20976","0"
"38","258183","567","1676","21922","0"
"39","259616","567","1695","22884","0"
"40","260975","570","1717","23855","0"
"41","261960","571","1739","24832","0"
"42","262652","571","1757","25822","0"
"43","263162","572","1775","26815","0"
"44","263571","572","1789","27810","0"
"45","263887","572","1805","28813","0"
"46","264146","572","1817","29820","0"
"47","264374","572","1832","30832","0"
"48","264636","572","1838","31851","0"
"49","264890","572","1851","32871","0"
"50","265095","573","1861","33894","0"
"51","265260","574","1868","34923","0"
"52","265426","575","1873","35955","0"
"53","265604","575","1877","36988","0"
"54","265818","576","1886","38026","0"
"55","266038","577","1892","39067","0"
"56","266239","578","1894","40108","0"
"57","266441","578","1898","41149","0"
"58","266603","578","1905","42191","0"
"59","266769","578","1908","43235","0"
"60","266939","579","1912","44281","0"
"61","267076","579","1916","45328","0"
"62","267201","579","1919","46375","0"
"63","267319","579","1921","47422","0"
"64","267417","579","1925","48472","0"
"65","267529","579","1928","49522","0"
"66","267635","580","1930","50572","0"
"67","267740","581","1933","51622","0"
"68","267846","581","1935","52672","0"
"69","267939","581","1935","53722","0"
"70","268033","581","1936","54772","0"
"71","268130","581","1938","55822","0"
"72","268225","581","1942","56874","0"
"73","268319","581","1943","57931","0"
"74","268413","581","1946","58988","0"
"75","268512","584","1952","60045","0"
"76","268589","584","1954","61103","0"
"77","268655","584","1954","62163","0"
"78","268723","585","1958","63223","0"
"79","268788","586","1962","64284","0"
"80","268856","587","1964","65348","0"
"81","268925","589","1968","66412","0"
"82","269001","590","1974","67480","0"
"83","269070","590","1975","68550","0"
"84","269134","590","1979","69621","0"
"85","269196","591","1985","70693","0"
"86","269248","591","1986","71765","0"
"87","269310","592","1990","72840","0"
"88","269372","592","1994","73916","0"
"89","269442","592","1995","74994","0"
"90","269515","593","2000","76072","0"
"91","269576","593","2004","77150","0"
"92","269628","594","2009","78228","0"
"93","269671","594","2012","79306","0"
"94","269712","594","2015","80384","0"
"95","269747","595","2018","81462","0"
"96","269789","595","2020","82541","0"
"97","269833","595","2020","83620","0"
"98","269878","596","2022","84699","0"
"99","269921","596","2023","85779","0"
"100","269960","596","2025","86859","0"
