"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","6","0","0","0","0"
"2","34","0","0","8","0"
"3","156","0","0","39","0"
"4","438","26","26","102","0"
"5","1213","81","81","192","0"
"6","2947","124","124","325","0"
"7","6768","163","163","510","0"
"8","12208","203","225","736","0"
"9","20247","246","302","1008","0"
"10","32562","293","380","1351","0"
"11","45075","337","455","1734","0"
"12","57544","373","520","2154","0"
"13","71794","414","617","2611","0"
"14","86309","443","687","3120","0"
"15","101736","460","744","3658","0"
"16","115860","478","805","4219","0"
"17","130155","484","873","4808","0"
"18","145069","496","939","5432","0"
"19","159788","505","988","6094","0"
"20","174908","520","1048","6777","0"
"21","188210","524","1096","7475","0"
"22","200156","532","1141","8192","0"
"23","210331","534","1181","8930","0"
"24","219415","537","1222","9680","0"
"25","227192","542","1270","10442","0"
"26","233339","543","1320","11220","0"
"27","237912","546","1356","12015","0"
"28","242271","548","1390","12839","0"
"29","247136","548","1416","13674","0"
"30","251353","550","1459","14518","0"
"31","254673","551","1489","15374","0"
"32","257162","553","1516","16239","0"
"33","259202","557","1541","17114","0"
"34","261294","557","1568","17995","0"
"35","263227","559","1593","18886","0"
"36","264489","561","1619","19789","0"
"37","265562","564","1640","20703","0"
"38","266710","566","1659","21625","0"
"39","268004","568","1685","22558","0"
"40","269309","569","1701","23501","0"
"41","270520","571","1721","24450","0"
"42","271446","571","1741","25406","0"
"43","272167","572","1757","26368","0"
"44","272661","572","1770","27331","0"
"45","273056","572","1787","28298","0"
"46","273422","573","1802","29272","0"
"47","273774","573","1819","30251","0"
"48","274090","573","1830","31233","0"
"49","274396","573","1841","32219","0"
"50","274709","573","1852","33207","0"
"51","274983","574","1865","34196","0"
"52","275297","574","1869","35189","0"
"53","275611","575","1876","36183","0"
"54","275929","576","1884","37180","0"
"55","276325","577","1892","38180","0"
"56","276667","577","1898","39181","0"
"57","276936","577","1901","40185","0"
"58","277147","577","1904","41195","0"
"59","277320","577","1908","42207","0"
"60","277512","578","1915","43219","0"
"61","277686","578","1922","44234","0"
"62","277848","578","1927","45250","0"
"63","277969","578","1928","46269","0"
"64","278099","579","1933","47289","0"
"65","278213","580","1938","48310","0"
"66","278317","581","1940","49335","0"
"67","278403","582","1943","50360","0"
"68","278499","582","1946","51385","0"
"69","278587","583","1948","52410","0"
"70","278666","583","1952","53435","0"
"71","278749","583","1954","54461","0"
"72","278830","583","1957","55487","0"
"73","278933","583","1958","56513","0"
"74","279021","583","1962","57539","0"
"75","279109","585","1966","58565","0"
"76","279171","586","1969","59591","0"
"77","279229","586","1969","60618","0"
"78","279300","586","1973","61645","0"
"79","279358","586","1976","62672","0"
"80","279406","589","1979","63699","0"
"81","279459","591","1983","64726","0"
"82","279518","594","1988","65757","0"
"83","279573","594","1990","66789","0"
"84","279633","595","1995","67822","0"
"85","279706","597","1998","68855","0"
"86","279765","597","2000","69889","0"
"87","279831","597","2004","70927","0"
"88","279879","597","2006","71965","0"
"89","279929","597","2010","73004","0"
"90","279977","597","2018","74044","0"
"91","280028","599","2024","75084","0"
"92","280081","600","2028","76125","0"
"93","280123","600","2031","77166","0"
"94","280167","601","2037","78208","0"
"95","280206","601","2039","79251","0"
"96","280242","601","2042","80295","0"
"97","280279","601","2043","81339","0"
"98","280311","602","2047","82383","0"
"99","280339","602","2051","83427","0"
"100","280368","602","2055","84473","0"
