"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","1","0","0","0"
"2","6","0","0","4"
"3","22","0","0","8"
"4","61","6","6","15"
"5","135","14","14","22"
"6","251","26","26","32"
"7","498","38","38","57"
"8","828","50","55","81"
"9","1358","60","67","115"
"10","2287","74","85","162"
"11","3080","93","109","220"
"12","3805","105","129","271"
"13","4604","118","145","332"
"14","5284","125","161","430"
"15","5966","131","178","526"
"16","6400","135","190","591"
"17","6639","137","202","623"
"18","6757","140","216","653"
"19","6841","145","226","664"
"20","6893","146","232","675"
"21","6938","146","237","687"
"22","6974","148","247","693"
"23","7019","150","254","697"
"24","7053","152","261","701"
"25","7088","154","268","702"
"26","7098","154","275","703"
"27","7104","154","277","707"
"28","7108","155","280","707"
"29","7113","156","284","708"
"30","7119","156","290","709"
"31","7125","156","293","709"
"32","7131","156","294","709"
"33","7138","156","296","709"
"34","7144","157","298","709"
"35","7147","157","299","709"
"36","7150","157","300","709"
"37","7153","158","304","709"
"38","7155","158","305","709"
"39","7156","158","306","709"
"40","7157","158","306","709"
"41","7159","158","307","709"
"42","7160","158","308","709"
"43","7161","158","308","709"
"44","7163","158","308","709"
"45","7164","158","308","709"
"46","7165","158","309","709"
"47","7165","158","309","709"
"48","7166","158","309","709"
"49","7166","158","309","709"
"50","7166","158","310","709"
"51","7167","159","312","709"
"52","7167","159","312","709"
"53","7167","159","312","709"
"54","7168","159","312","709"
"55","7168","159","312","709"
"56","7168","159","313","709"
"57","7168","159","313","709"
"58","7168","159","314","709"
"59","7168","159","314","709"
"60","7168","159","314","709"
"61","7169","159","314","709"
"62","7169","159","314","709"
"63","7169","159","314","709"
"64","7169","159","314","709"
"65","7169","159","314","709"
"66","7169","159","314","709"
"67","7169","159","314","709"
"68","7169","159","314","709"
"69","7169","159","314","709"
"70","7169","159","314","709"
"71","7169","159","314","709"
"72","7169","160","315","709"
"73","7170","160","315","709"
"74","7170","160","315","709"
"75","7170","160","315","709"
"76","7170","160","315","709"
"77","7170","160","316","709"
"78","7170","160","316","709"
"79","7170","160","317","709"
