alternative_routes_used,crossings,simulation_step,simulation_time,vehicles
0.0,0.0,1.0,10.0,0.0
4.0,0.0,2.0,19.1,0.0
8.0,0.0,3.0,43.0,0.0
15.0,6.0,4.0,93.0,6.0
22.0,14.0,5.0,185.7,14.0
32.0,26.0,6.0,314.9,26.0
57.0,38.0,7.0,618.6,38.0
81.0,55.4,8.0,1014.6,50.4
115.0,67.4,9.0,1598.9,60.4
158.8,85.4,10.0,2578.5,74.4
216.8,109.4,11.0,3418.7,93.4
264.6,129.8,12.0,4135.9,105.4
325.2,144.8,13.0,4952.2,117.8
420.4,162.1,14.0,5650.2,126.1
493.2,181.3,15.0,6217.6,133.6
539.0,191.9,16.0,6517.4,136.5
564.6,202.9,17.0,6726.9,138.1
587.0,217.5,18.0,6847.7,141.1
597.4,228.5,19.0,6932.5,145.4
605.9,234.2,20.0,6984.3,146.4
618.8,241.0,21.0,7033.2,147.4
624.1,249.9,22.0,7072.6,149.4
629.0,255.9,23.0,7120.2,150.7
633.0,260.8,24.0,7162.2,152.0
634.9,268.2,25.0,7201.5,154.0
636.6,275.5,26.0,7215.7,154.0
638.2,278.4,27.0,7222.8,154.0
638.2,282.4,28.0,7228.0,155.0
639.2,286.5,29.0,7233.5,156.0
640.2,289.7,30.0,7239.5,156.0
640.2,292.0,31.0,7246.4,156.0
640.2,293.4,32.0,7253.6,156.0
640.2,294.7,33.0,7259.8,156.0
640.2,296.4,34.0,7265.9,157.0
640.2,298.1,35.0,7269.5,157.0
640.2,298.7,36.0,7272.8,157.0
640.2,302.1,37.0,7276.4,158.0
640.2,302.8,38.0,7278.7,158.0
640.2,303.8,39.0,7280.9,158.0
640.2,303.8,40.0,7282.7,158.0
640.2,304.8,41.0,7284.8,158.0
640.2,305.5,42.0,7286.5,158.0
640.2,305.5,43.0,7288.1,158.0
640.2,305.5,44.0,7289.8,158.0
640.2,305.5,45.0,7291.3,158.0
640.2,307.0,46.0,7292.8,158.0
640.2,307.4,47.0,7293.5,158.0
640.2,307.4,48.0,7294.1,158.0
640.2,307.4,49.0,7294.7,158.0
640.2,308.4,50.0,7295.1,158.0
640.2,310.0,51.0,7296.0,159.0
640.2,310.0,52.0,7296.3,159.0
640.2,310.4,53.0,7296.5,159.0
640.2,310.8,54.0,7297.0,159.0
640.2,310.8,55.0,7297.2,159.0
640.2,311.8,56.0,7297.6,159.0
640.2,311.8,57.0,7297.6,159.0
640.2,312.4,58.0,7297.8,159.0
640.2,312.4,59.0,7298.0,159.0
640.2,312.4,60.0,7298.0,159.0
640.2,312.4,61.0,7298.3,159.0
640.2,312.4,62.0,7298.4,159.0
640.2,312.4,63.0,7298.6,159.0
640.2,312.4,64.0,7298.7,159.0
640.2,312.4,65.0,7298.7,159.0
640.2,312.4,66.0,7298.8,159.0
640.2,312.4,67.0,7298.8,159.0
640.2,312.4,68.0,7298.9,159.0
640.2,312.4,69.0,7299.1,159.0
640.2,312.4,70.0,7299.3,159.0
640.2,312.4,71.0,7299.3,159.0
640.2,313.4,72.0,7299.4,160.0
640.2,313.4,73.0,7299.5,160.0
640.2,313.4,74.0,7299.6,160.0
640.2,313.4,75.0,7299.7,160.0
640.2,313.4,76.0,7299.8,160.0
640.2,314.1,77.0,7299.9,160.0
640.2,314.1,78.0,7299.9,160.0
640.2,315.1,79.0,7300.1,160.0
632.3333333333334,313.0,80.0,8578.333333333334,160.0
632.3333333333334,313.0,81.0,8578.333333333334,160.0
632.3333333333334,313.0,82.0,8578.666666666666,160.0
632.3333333333334,313.0,83.0,8578.666666666666,160.0
632.3333333333334,313.0,84.0,8578.666666666666,160.0
632.3333333333334,313.0,85.0,8578.666666666666,160.0
632.3333333333334,313.0,86.0,8579.0,160.0
632.3333333333334,313.0,87.0,8579.333333333334,160.0
632.3333333333334,313.0,88.0,8579.333333333334,160.0
632.3333333333334,313.0,89.0,8579.333333333334,160.0
632.3333333333334,313.0,90.0,8579.333333333334,160.0
632.3333333333334,313.0,91.0,8579.333333333334,160.0
632.3333333333334,313.0,92.0,8579.666666666666,160.0
632.3333333333334,313.0,93.0,8579.666666666666,160.0
632.3333333333334,313.0,94.0,8579.666666666666,160.0
632.3333333333334,313.0,95.0,8579.666666666666,160.0
632.3333333333334,313.0,96.0,8579.666666666666,160.0
632.3333333333334,313.0,97.0,8579.666666666666,160.0
632.3333333333334,313.0,98.0,8579.666666666666,160.0
632.3333333333334,313.0,99.0,8580.0,160.0
632.3333333333334,313.0,100.0,8580.0,160.0
