"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","2","0","0","0"
"2","8","0","0","4"
"3","26","0","0","8"
"4","69","6","6","15"
"5","204","14","14","22"
"6","382","26","26","32"
"7","822","38","38","57"
"8","1402","51","56","81"
"9","2274","61","68","115"
"10","3483","75","86","154"
"11","4344","94","110","212"
"12","5058","106","131","255"
"13","5814","119","146","315"
"14","6441","127","163","406"
"15","6938","136","184","468"
"16","7167","138","194","503"
"17","7344","139","204","525"
"18","7458","142","219","544"
"19","7537","145","231","556"
"20","7585","146","235","564"
"21","7632","148","243","579"
"22","7676","150","251","586"
"23","7726","151","257","593"
"24","7775","152","260","599"
"25","7816","154","268","603"
"26","7834","154","276","607"
"27","7844","154","279","607"
"28","7850","155","285","607"
"29","7855","156","290","608"
"30","7860","156","291","609"
"31","7867","156","294","609"
"32","7873","156","296","609"
"33","7876","156","297","609"
"34","7879","157","298","609"
"35","7882","157","301","609"
"36","7883","157","301","609"
"37","7885","158","303","609"
"38","7887","158","303","609"
"39","7889","158","304","609"
"40","7890","158","304","609"
"41","7892","158","305","609"
"42","7894","158","305","609"
"43","7896","158","305","609"
"44","7898","158","305","609"
"45","7899","158","305","609"
"46","7901","158","307","609"
"47","7902","158","308","609"
"48","7903","158","308","609"
"49","7904","158","308","609"
"50","7904","158","309","609"
"51","7905","159","310","609"
"52","7905","159","310","609"
"53","7906","159","311","609"
"54","7906","159","312","609"
"55","7906","159","312","609"
"56","7907","159","313","609"
"57","7907","159","313","609"
"58","7907","159","313","609"
"59","7907","159","313","609"
"60","7907","159","313","609"
"61","7907","159","313","609"
"62","7907","159","313","609"
"63","7907","159","313","609"
"64","7907","159","313","609"
"65","7907","159","313","609"
"66","7907","159","313","609"
"67","7907","159","313","609"
"68","7907","159","313","609"
"69","7908","159","313","609"
"70","7908","159","313","609"
"71","7908","159","313","609"
"72","7908","160","314","609"
"73","7908","160","314","609"
"74","7908","160","314","609"
"75","7908","160","314","609"
"76","7908","160","314","609"
"77","7908","160","314","609"
"78","7908","160","314","609"
"79","7908","160","315","609"
"80","7908","160","315","609"
"81","7908","160","315","609"
"82","7908","160","315","609"
"83","7908","160","315","609"
"84","7908","160","315","609"
"85","7908","160","315","609"
"86","7909","160","315","609"
"87","7909","160","315","609"
"88","7909","160","315","609"
"89","7909","160","315","609"
"90","7909","160","315","609"
"91","7909","160","315","609"
"92","7909","160","315","609"
"93","7909","160","315","609"
"94","7909","160","315","609"
"95","7909","160","315","609"
"96","7909","160","315","609"
"97","7909","160","315","609"
"98","7909","160","315","609"
"99","7909","160","315","609"
"100","7909","160","315","609"
