"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","1","0","0","0"
"2","3","0","0","4"
"3","13","0","0","8"
"4","44","6","6","15"
"5","99","14","14","22"
"6","197","26","26","32"
"7","440","38","38","57"
"8","770","51","56","81"
"9","1263","61","68","115"
"10","2104","75","86","154"
"11","2878","94","110","212"
"12","3562","106","131","255"
"13","4336","118","145","315"
"14","5004","127","163","406"
"15","5501","136","184","468"
"16","5726","138","194","503"
"17","5907","139","205","525"
"18","6020","142","219","542"
"19","6103","146","230","550"
"20","6154","147","237","557"
"21","6203","148","245","569"
"22","6241","150","253","573"
"23","6285","151","259","577"
"24","6318","152","263","580"
"25","6347","154","271","581"
"26","6356","154","278","582"
"27","6361","154","281","583"
"28","6364","155","285","583"
"29","6369","156","290","584"
"30","6373","156","292","585"
"31","6380","156","293","585"
"32","6387","156","293","585"
"33","6394","156","294","585"
"34","6402","157","296","585"
"35","6405","157","298","585"
"36","6408","157","298","585"
"37","6412","158","302","585"
"38","6416","158","303","585"
"39","6418","158","304","585"
"40","6419","158","304","585"
"41","6420","158","305","585"
"42","6421","158","306","585"
"43","6423","158","306","585"
"44","6424","158","306","585"
"45","6425","158","306","585"
"46","6426","158","307","585"
"47","6427","158","308","585"
"48","6427","158","308","585"
"49","6427","158","308","585"
"50","6428","158","309","585"
"51","6428","159","310","585"
"52","6429","159","310","585"
"53","6429","159","311","585"
"54","6429","159","312","585"
"55","6429","159","312","585"
"56","6430","159","313","585"
"57","6430","159","313","585"
"58","6430","159","313","585"
"59","6430","159","313","585"
"60","6430","159","313","585"
"61","6430","159","313","585"
"62","6430","159","313","585"
"63","6430","159","313","585"
"64","6430","159","313","585"
"65","6430","159","313","585"
"66","6430","159","313","585"
"67","6430","159","313","585"
"68","6430","159","313","585"
"69","6430","159","313","585"
"70","6431","159","313","585"
"71","6431","159","313","585"
"72","6431","160","314","585"
"73","6431","160","314","585"
"74","6431","160","314","585"
"75","6431","160","314","585"
"76","6431","160","314","585"
"77","6431","160","315","585"
"78","6431","160","315","585"
"79","6431","160","316","585"
