"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","27","0","0","0","0"
"2","139","0","0","52","0"
"3","535","0","0","196","0"
"4","1631","102","102","451","0"
"5","4672","238","238","862","0"
"6","11142","412","412","1433","0"
"7","24604","577","577","2217","0"
"8","48787","768","828","3207","0"
"9","89759","927","1069","4424","0"
"10","154213","1093","1351","5924","0"
"11","224982","1282","1647","7598","0"
"12","300727","1459","1972","9467","0"
"13","387655","1659","2315","11511","0"
"14","490396","1762","2608","13771","0"
"15","600428","1838","2900","16199","0"
"16","709436","1903","3187","18808","0"
"17","809024","1947","3473","21583","0"
"18","902390","1995","3765","24566","0"
"19","1004948","2025","4010","27722","0"
"20","1104136","2051","4263","31083","0"
"21","1208981","2080","4508","34607","0"
"22","1311267","2107","4750","38278","0"
"23","1414332","2124","4976","42087","0"
"24","1505823","2140","5209","46036","0"
"25","1599983","2163","5432","50141","0"
"26","1693458","2181","5670","54391","0"
"27","1780511","2189","5907","58787","0"
"28","1867330","2198","6142","63326","0"
"29","1952925","2214","6367","68037","0"
"30","2036090","2224","6565","72904","0"
"31","2123832","2234","6783","77908","0"
"32","2218404","2246","7005","83084","0"
"33","2314120","2257","7215","88372","0"
"34","2410338","2262","7416","93788","0"
"35","2499790","2267","7609","99342","0"
"36","2579382","2275","7815","105038","0"
"37","2665188","2281","8018","110882","0"
"38","2749357","2287","8227","116854","0"
"39","2827151","2289","8406","122981","0"
"40","2900962","2292","8596","129240","0"
"41","2972173","2298","8777","135635","0"
"42","3044128","2301","8981","142152","0"
"43","3123174","2305","9168","148806","0"
"44","3206113","2307","9372","155593","0"
"45","3286415","2308","9557","162507","0"
"46","3373580","2309","9758","169529","0"
"47","3457765","2310","9924","176701","0"
"48","3542050","2314","10106","184004","0"
"49","3617201","2316","10293","191429","0"
"50","3685359","2320","10481","198985","0"
"51","3750164","2322","10656","206690","0"
"52","3818994","2323","10826","214513","0"
"53","3888353","2325","10993","222455","0"
"54","3955140","2327","11169","230510","0"
"55","4020504","2327","11341","238720","0"
"56","4080496","2329","11499","247031","0"
"57","4145260","2331","11653","255457","0"
"58","4207777","2333","11805","263986","0"
"59","4271479","2333","11957","272639","0"
"60","4339224","2334","12117","281404","0"
"61","4405818","2334","12257","290300","0"
"62","4474373","2335","12414","299280","0"
"63","4540819","2336","12563","308382","0"
"64","4606764","2337","12720","317578","0"
"65","4673973","2338","12859","326879","0"
"66","4749468","2338","12996","336270","0"
"67","4819906","2338","13140","345800","0"
"68","4891291","2338","13274","355418","0"
"69","4961303","2339","13406","365131","0"
"70","5033807","2339","13521","374952","0"
"71","5103591","2340","13664","384863","0"
"72","5179297","2340","13795","394859","0"
"73","5255328","2340","13905","404960","0"
"74","5329671","2340","14031","415153","0"
"75","5402901","2340","14155","425433","0"
"76","5480123","2341","14270","435782","0"
"77","5553958","2341","14382","446234","0"
"78","5620707","2341","14493","456765","0"
"79","5683074","2341","14606","467377","0"
"80","5742548","2341","14723","478064","0"
"81","5795064","2341","14834","488828","0"
"82","5848914","2341","14938","499660","0"
"83","5896853","2341","15035","510560","0"
"84","5939687","2341","15139","521542","0"
"85","5981499","2341","15247","532580","0"
"86","6023052","2341","15339","543690","0"
"87","6065536","2341","15419","554878","0"
"88","6107702","2341","15513","566121","0"
"89","6151062","2342","15635","577428","0"
"90","6195951","2342","15704","588815","0"
"91","6241067","2342","15779","600244","0"
"92","6283940","2342","15872","611703","0"
"93","6324521","2342","15943","623216","0"
"94","6362448","2342","16014","634794","0"
"95","6400325","2342","16095","646433","0"
"96","6438112","2342","16172","658117","0"
"97","6475833","2342","16242","669868","0"
"98","6513165","2343","16320","681662","0"
"99","6549061","2345","16395","693496","0"
"100","6586652","2347","16468","705385","0"
