"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","27","0","0","0","0"
"2","144","0","0","52","0"
"3","540","0","0","196","0"
"4","1679","102","102","451","0"
"5","4766","238","238","862","0"
"6","11248","412","412","1433","0"
"7","24689","577","577","2217","0"
"8","48930","768","828","3207","0"
"9","89824","927","1069","4424","0"
"10","154249","1093","1351","5924","0"
"11","225093","1282","1647","7598","0"
"12","300785","1459","1972","9467","0"
"13","387850","1659","2315","11510","0"
"14","490597","1762","2606","13772","0"
"15","600870","1838","2898","16199","0"
"16","709946","1902","3184","18807","0"
"17","809725","1948","3473","21580","0"
"18","903136","1996","3764","24564","0"
"19","1005422","2025","4007","27721","0"
"20","1105155","2052","4261","31082","0"
"21","1211593","2080","4505","34609","0"
"22","1315213","2107","4748","38280","0"
"23","1419424","2124","4974","42090","0"
"24","1511715","2140","5208","46039","0"
"25","1606517","2165","5432","50144","0"
"26","1699856","2182","5669","54395","0"
"27","1787761","2189","5905","58792","0"
"28","1874626","2198","6140","63331","0"
"29","1960138","2213","6363","68039","0"
"30","2044276","2223","6561","72902","0"
"31","2132254","2233","6781","77903","0"
"32","2226186","2245","7003","83077","0"
"33","2321053","2255","7210","88364","0"
"34","2417007","2260","7411","93778","0"
"35","2506683","2266","7606","99326","0"
"36","2586115","2273","7813","105020","0"
"37","2671038","2278","8014","110862","0"
"38","2754750","2285","8223","116833","0"
"39","2832333","2287","8402","122960","0"
"40","2907592","2290","8592","129219","0"
"41","2980744","2296","8771","135614","0"
"42","3053645","2299","8974","142130","0"
"43","3132877","2303","9161","148782","0"
"44","3215681","2305","9363","155570","0"
"45","3295512","2306","9547","162484","0"
"46","3382734","2307","9748","169506","0"
"47","3465458","2309","9915","176675","0"
"48","3548618","2313","10093","183974","0"
"49","3623482","2315","10279","191394","0"
"50","3691087","2319","10469","198944","0"
"51","3755733","2321","10646","206645","0"
"52","3824553","2322","10816","214467","0"
"53","3895010","2324","10983","222404","0"
"54","3963649","2326","11159","230454","0"
"55","4030536","2326","11333","238648","0"
"56","4091105","2328","11489","246944","0"
"57","4156119","2330","11638","255359","0"
"58","4219086","2332","11792","263876","0"
"59","4283096","2332","11945","272514","0"
"60","4351152","2333","12101","281266","0"
"61","4417534","2333","12241","290147","0"
"62","4485739","2334","12398","299111","0"
"63","4551984","2335","12546","308196","0"
"64","4617781","2336","12701","317375","0"
"65","4683881","2337","12842","326660","0"
"66","4757436","2337","12982","336036","0"
"67","4827557","2337","13123","345549","0"
"68","4898311","2337","13255","355151","0"
"69","4967953","2338","13389","364848","0"
"70","5039810","2338","13505","374651","0"
"71","5109020","2339","13643","384541","0"
"72","5181845","2339","13774","394514","0"
"73","5256526","2339","13885","404590","0"
"74","5329401","2339","14010","414759","0"
"75","5403135","2339","14129","425011","0"
"76","5480460","2340","14243","435328","0"
"77","5555300","2340","14359","445747","0"
"78","5622115","2340","14468","456244","0"
"79","5684574","2340","14579","466820","0"
"80","5744503","2340","14696","477472","0"
"81","5796607","2340","14810","488199","0"
"82","5850190","2340","14909","498996","0"
"83","5898514","2340","15005","509860","0"
"84","5941464","2340","15106","520807","0"
"85","5983919","2340","15215","531811","0"
"86","6026137","2340","15303","542888","0"
"87","6070017","2340","15382","554038","0"
"88","6113827","2340","15472","565241","0"
"89","6158592","2341","15591","576505","0"
"90","6203722","2341","15658","587848","0"
"91","6248784","2341","15737","599232","0"
"92","6291920","2341","15830","610647","0"
"93","6332324","2341","15902","622111","0"
"94","6370400","2341","15973","633643","0"
"95","6408613","2341","16049","645235","0"
"96","6445969","2342","16126","656869","0"
"97","6482979","2342","16197","668571","0"
"98","6519983","2343","16273","680317","0"
"99","6555646","2345","16347","692102","0"
"100","6593065","2347","16417","703942","0"
