"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","8","0","0","0","0"
"2","37","0","0","8","0"
"3","141","0","0","41","0"
"4","425","21","21","111","0"
"5","1151","58","58","207","0"
"6","2926","97","97","351","0"
"7","6609","144","144","541","0"
"8","11773","180","194","783","0"
"9","20968","230","260","1085","0"
"10","35654","277","336","1449","0"
"11","51079","320","410","1854","0"
"12","67106","361","479","2301","0"
"13","80616","403","559","2791","0"
"14","94435","437","633","3328","0"
"15","107519","462","710","3886","0"
"16","118905","472","762","4481","0"
"17","131617","484","836","5109","0"
"18","145371","502","895","5785","0"
"19","161063","513","956","6484","0"
"20","174935","522","1004","7218","0"
"21","188510","529","1058","7971","0"
"22","199775","534","1098","8749","0"
"23","210635","540","1144","9538","0"
"24","219966","546","1195","10352","0"
"25","227805","549","1242","11186","0"
"26","234668","557","1290","12038","0"
"27","241240","562","1335","12905","0"
"28","246806","565","1371","13790","0"
"29","253026","567","1398","14697","0"
"30","259039","569","1444","15614","0"
"31","263942","570","1468","16549","0"
"32","268210","570","1497","17494","0"
"33","271760","573","1531","18447","0"
"34","274953","576","1567","19416","0"
"35","277222","577","1584","20396","0"
"36","279197","578","1613","21389","0"
"37","280843","580","1640","22391","0"
"38","282315","581","1658","23401","0"
"39","283774","581","1680","24417","0"
"40","285337","581","1707","25437","0"
"41","286456","582","1729","26465","0"
"42","287549","582","1747","27500","0"
"43","288446","583","1765","28538","0"
"44","289056","583","1786","29584","0"
"45","289684","585","1797","30635","0"
"46","290272","587","1807","31690","0"
"47","290823","588","1822","32749","0"
"48","291386","588","1834","33810","0"
"49","291868","589","1846","34876","0"
"50","292322","589","1853","35943","0"
"51","292745","589","1862","37013","0"
"52","293187","589","1868","38089","0"
"53","293609","590","1872","39167","0"
"54","294042","591","1879","40246","0"
"55","294456","592","1887","41328","0"
"56","294779","592","1892","42411","0"
"57","295097","592","1897","43497","0"
"58","295382","593","1902","44585","0"
"59","295682","593","1905","45673","0"
"60","295981","593","1909","46761","0"
"61","296290","594","1917","47850","0"
"62","296617","596","1920","48944","0"
"63","296940","597","1925","50038","0"
"64","297257","597","1929","51132","0"
"65","297564","597","1933","52226","0"
"66","297860","599","1936","53322","0"
"67","298154","601","1941","54419","0"
"68","298429","601","1942","55519","0"
"69","298668","602","1950","56621","0"
"70","298867","603","1958","57723","0"
"71","299051","603","1959","58826","0"
"72","299230","603","1962","59929","0"
"73","299396","603","1968","61032","0"
"74","299570","603","1973","62139","0"
"75","299728","603","1976","63247","0"
"76","299881","603","1981","64355","0"
"77","300046","603","1987","65465","0"
"78","300192","603","1991","66578","0"
"79","300333","603","1993","67692","0"
"80","300471","604","1996","68806","0"
"81","300596","604","2001","69921","0"
"82","300714","605","2005","71038","0"
"83","300832","605","2008","72155","0"
"84","300944","606","2011","73272","0"
"85","301056","606","2014","74389","0"
"86","301167","606","2016","75507","0"
"87","301279","607","2018","76625","0"
"88","301383","607","2021","77745","0"
"89","301481","609","2024","78865","0"
"90","301563","610","2026","79985","0"
"91","301657","611","2029","81105","0"
"92","301743","612","2031","82225","0"
"93","301847","612","2031","83348","0"
"94","301950","612","2033","84471","0"
"95","302046","612","2039","85594","0"
"96","302118","612","2041","86717","0"
"97","302182","612","2042","87840","0"
"98","302246","612","2043","88963","0"
"99","302329","614","2048","90086","0"
"100","302416","614","2051","91209","0"
