"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","231","0","0","0","0"
"2","563","0","0","11","0"
"3","1112","0","0","46","0"
"4","1839","31","31","104","0"
"5","3334","60","60","195","0"
"6","5884","99","99","336","0"
"7","9662","141","141","529","0"
"8","16209","183","200","762","0"
"9","26662","237","265","1070","0"
"10","41179","265","319","1451","0"
"11","56588","318","396","1853","0"
"12","74885","369","480","2291","0"
"13","92691","425","577","2777","0"
"14","110794","455","643","3332","0"
"15","127148","477","714","3913","0"
"16","144183","490","783","4544","0"
"17","160307","501","847","5213","0"
"18","178327","514","897","5925","0"
"19","198518","526","963","6663","0"
"20","217858","535","1024","7432","0"
"21","236553","548","1085","8234","0"
"22","256604","553","1130","9070","0"
"23","278978","557","1192","9933","0"
"24","302088","563","1254","10833","0"
"25","324052","565","1302","11770","0"
"26","343847","570","1346","12751","0"
"27","361763","574","1401","13777","0"
"28","378101","575","1457","14837","0"
"29","393318","577","1508","15934","0"
"30","407650","579","1549","17061","0"
"31","420584","582","1602","18208","0"
"32","431478","585","1643","19394","0"
"33","441699","589","1693","20601","0"
"34","451170","591","1746","21840","0"
"35","460714","593","1792","23105","0"
"36","470468","594","1833","24405","0"
"37","479355","597","1872","25722","0"
"38","488937","598","1909","27065","0"
"39","495864","598","1952","28425","0"
"40","502486","598","1998","29807","0"
"41","507314","598","2035","31205","0"
"42","512136","598","2055","32627","0"
"43","517015","598","2086","34057","0"
"44","521893","598","2134","35495","0"
"45","526928","598","2170","36955","0"
"46","531983","599","2191","38436","0"
"47","536256","599","2218","39935","0"
"48","540778","599","2247","41447","0"
"49","544361","599","2279","42970","0"
"50","547755","599","2303","44510","0"
"51","551004","600","2323","46056","0"
"52","554346","600","2344","47615","0"
"53","557295","602","2376","49181","0"
"54","559977","603","2404","50774","0"
"55","562799","603","2422","52387","0"
"56","565462","603","2434","54009","0"
"57","568131","603","2463","55641","0"
"58","570382","603","2486","57288","0"
"59","572404","604","2504","58942","0"
"60","574316","604","2521","60610","0"
"61","575934","604","2547","62283","0"
"62","577547","604","2566","63973","0"
"63","579076","604","2579","65670","0"
"64","580593","604","2593","67374","0"
"65","582139","604","2612","69082","0"
"66","583676","604","2625","70800","0"
"67","585205","605","2637","72523","0"
"68","586629","606","2649","74249","0"
"69","587878","606","2664","75979","0"
"70","589171","606","2680","77715","0"
"71","590293","606","2690","79464","0"
"72","591428","606","2698","81218","0"
"73","592545","606","2700","82973","0"
"74","593633","607","2712","84730","0"
"75","594745","607","2720","86492","0"
"76","595865","607","2729","88257","0"
"77","596999","607","2733","90030","0"
"78","598190","607","2743","91807","0"
"79","599367","607","2752","93590","0"
"80","600681","607","2759","95376","0"
"81","602071","607","2765","97168","0"
"82","603401","607","2771","98960","0"
"83","604627","607","2779","100754","0"
"84","605643","607","2782","102551","0"
"85","606630","607","2786","104352","0"
"86","607598","607","2793","106156","0"
"87","608623","607","2796","107961","0"
"88","609648","608","2799","109766","0"
"89","610516","608","2803","111574","0"
"90","611381","608","2808","113383","0"
"91","612274","608","2818","115194","0"
"92","613037","608","2819","117007","0"
"93","613790","608","2823","118820","0"
"94","614549","608","2829","120633","0"
"95","615178","608","2835","122450","0"
"96","615677","609","2838","124267","0"
"97","616173","609","2845","126085","0"
"98","616642","609","2849","127904","0"
"99","617100","609","2857","129730","0"
"100","617608","609","2858","131558","0"
