"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","14","0","0","0","0"
"2","43","0","0","11","0"
"3","140","0","0","46","0"
"4","404","31","31","104","0"
"5","1109","60","60","195","0"
"6","2623","99","99","336","0"
"7","5897","141","141","529","0"
"8","11648","183","200","762","0"
"9","21167","237","265","1070","0"
"10","35465","265","319","1451","0"
"11","50720","318","396","1853","0"
"12","68859","369","480","2291","0"
"13","86581","425","577","2777","0"
"14","104577","455","643","3332","0"
"15","120820","477","714","3913","0"
"16","137743","490","783","4544","0"
"17","153738","501","847","5213","0"
"18","171592","514","897","5925","0"
"19","191653","526","963","6663","0"
"20","210830","535","1024","7432","0"
"21","229394","548","1085","8236","0"
"22","249265","553","1130","9072","0"
"23","271402","558","1193","9935","0"
"24","294374","564","1254","10835","0"
"25","317981","566","1302","11770","0"
"26","338966","571","1346","12749","0"
"27","357522","575","1401","13772","0"
"28","374199","576","1457","14829","0"
"29","389464","578","1508","15923","0"
"30","403821","580","1549","17047","0"
"31","416792","583","1603","18192","0"
"32","427803","586","1643","19376","0"
"33","438042","590","1693","20580","0"
"34","447902","592","1746","21815","0"
"35","457668","594","1793","23075","0"
"36","467732","595","1834","24370","0"
"37","476635","598","1874","25682","0"
"38","486234","599","1911","27022","0"
"39","493231","599","1951","28379","0"
"40","500563","599","1997","29757","0"
"41","506299","599","2035","31150","0"
"42","511741","599","2055","32567","0"
"43","517367","599","2086","33992","0"
"44","523013","599","2135","35425","0"
"45","528301","599","2170","36879","0"
"46","533676","600","2192","38354","0"
"47","538302","600","2219","39847","0"
"48","543133","600","2248","41353","0"
"49","547008","600","2278","42870","0"
"50","550773","600","2303","44403","0"
"51","554440","601","2324","45944","0"
"52","558249","601","2346","47498","0"
"53","561582","603","2376","49059","0"
"54","564497","603","2403","50647","0"
"55","567697","604","2422","52254","0"
"56","570674","604","2435","53870","0"
"57","573628","604","2461","55497","0"
"58","576184","604","2484","57138","0"
"59","578430","605","2503","58786","0"
"60","580477","605","2521","60448","0"
"61","582123","605","2545","62115","0"
"62","583760","605","2564","63799","0"
"63","585315","605","2578","65490","0"
"64","586855","605","2593","67188","0"
"65","588374","605","2610","68891","0"
"66","589755","605","2624","70603","0"
"67","591263","606","2638","72320","0"
"68","592663","607","2650","74041","0"
"69","593890","607","2664","75766","0"
"70","595151","607","2680","77497","0"
"71","596268","607","2691","79241","0"
"72","597409","607","2699","80991","0"
"73","598536","607","2701","82742","0"
"74","599631","608","2713","84495","0"
"75","600745","608","2721","86253","0"
"76","601863","608","2731","88014","0"
"77","602985","608","2735","89783","0"
"78","604170","608","2745","91556","0"
"79","605339","608","2754","93335","0"
"80","606644","608","2761","95117","0"
"81","608014","608","2767","96905","0"
"82","609332","608","2774","98694","0"
"83","610566","608","2782","100485","0"
"84","611585","608","2785","102279","0"
"85","612585","608","2789","104077","0"
"86","613570","608","2796","105878","0"
"87","614651","608","2799","107680","0"
"88","615731","609","2803","109482","0"
"89","616632","609","2807","111287","0"
"90","617530","609","2812","113093","0"
"91","618490","609","2822","114901","0"
"92","619291","609","2824","116711","0"
"93","620070","609","2828","118521","0"
"94","620862","609","2834","120331","0"
"95","621519","609","2840","122145","0"
"96","622050","610","2843","123959","0"
"97","622557","610","2850","125774","0"
"98","623033","610","2854","127590","0"
"99","623497","610","2862","129413","0"
"100","624046","610","2863","131238","0"
