"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","26","0","0","0"
"2","141","0","0","0"
"3","541","0","0","0"
"4","1610","73","73","0"
"5","4338","186","186","0"
"6","10522","324","324","0"
"7","22647","466","466","0"
"8","43862","619","649","0"
"9","78155","749","823","0"
"10","132914","925","1053","0"
"11","188378","1118","1312","0"
"12","246123","1334","1616","0"
"13","300767","1525","1887","0"
"14","356281","1667","2156","0"
"15","403408","1744","2362","0"
"16","445920","1814","2604","0"
"17","484005","1872","2803","0"
"18","514098","1913","2989","0"
"19","540909","1961","3175","0"
"20","563407","2003","3353","0"
"21","580390","2044","3504","0"
"22","594350","2078","3652","0"
"23","605049","2109","3776","0"
"24","614065","2141","3894","0"
"25","621465","2167","4012","0"
"26","628438","2184","4128","0"
"27","634020","2197","4206","0"
"28","638720","2216","4304","0"
"29","642581","2230","4401","0"
"30","645663","2241","4479","0"
"31","648297","2254","4553","0"
"32","650739","2262","4614","0"
"33","652714","2272","4687","0"
"34","654521","2278","4733","0"
"35","656185","2282","4789","0"
"36","657553","2287","4849","0"
"37","658854","2288","4884","0"
"38","659977","2291","4931","0"
"39","660895","2296","4978","0"
"40","661726","2302","5019","0"
"41","662395","2310","5051","0"
"42","663041","2312","5078","0"
"43","663610","2312","5100","0"
"44","664124","2314","5124","0"
"45","664583","2315","5148","0"
"46","664978","2316","5167","0"
"47","665340","2319","5189","0"
"48","665674","2320","5208","0"
"49","665953","2325","5224","0"
"50","666222","2326","5234","0"
"51","666476","2327","5249","0"
"52","666692","2329","5268","0"
"53","666884","2330","5274","0"
"54","667063","2334","5286","0"
"55","667231","2341","5297","0"
"56","667397","2345","5308","0"
"57","667565","2349","5318","0"
"58","667722","2352","5326","0"
"59","667880","2357","5336","0"
"60","668037","2360","5345","0"
"61","668187","2362","5354","0"
"62","668340","2362","5360","0"
"63","668514","2366","5369","0"
"64","668687","2367","5375","0"
"65","668861","2368","5383","0"
"66","669040","2371","5392","0"
"67","669191","2371","5401","0"
"68","669328","2375","5411","0"
"69","669455","2381","5419","0"
"70","669582","2385","5427","0"
"71","669701","2388","5439","0"
"72","669819","2389","5446","0"
"73","669931","2394","5455","0"
"74","670038","2396","5463","0"
"75","670138","2397","5471","0"
"76","670239","2400","5479","0"
"77","670340","2401","5485","0"
"78","670436","2402","5491","0"
"79","670532","2404","5498","0"
"80","670619","2405","5504","0"
"81","670695","2407","5511","0"
"82","670770","2409","5517","0"
"83","670845","2413","5526","0"
"84","670915","2418","5534","0"
"85","670983","2420","5538","0"
"86","671049","2422","5541","0"
"87","671116","2427","5550","0"
"88","671180","2429","5557","0"
"89","671238","2429","5559","0"
"90","671294","2430","5567","0"
"91","671352","2432","5573","0"
"92","671405","2432","5578","0"
"93","671457","2432","5584","0"
"94","671513","2435","5591","0"
"95","671568","2436","5598","0"
"96","671622","2438","5605","0"
"97","671670","2440","5610","0"
"98","671717","2441","5612","0"
"99","671762","2444","5617","0"
"100","671806","2445","5619","0"
