"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","23","0","0","0"
"2","130","0","0","0"
"3","520","0","0","0"
"4","1598","73","73","0"
"5","4345","186","186","0"
"6","10609","324","324","0"
"7","22901","466","466","0"
"8","44361","619","649","0"
"9","79084","750","823","0"
"10","134141","925","1051","0"
"11","190293","1116","1307","0"
"12","249859","1334","1610","0"
"13","306044","1528","1881","0"
"14","361589","1664","2149","0"
"15","407643","1743","2351","0"
"16","451612","1814","2594","0"
"17","492069","1865","2788","0"
"18","526438","1907","2971","0"
"19","556993","1958","3155","0"
"20","584154","1999","3330","0"
"21","603993","2049","3484","0"
"22","621291","2086","3631","0"
"23","633107","2120","3758","0"
"24","642551","2148","3876","0"
"25","650218","2174","3997","0"
"26","656657","2195","4123","0"
"27","661464","2207","4206","0"
"28","665397","2223","4287","0"
"29","669179","2243","4384","0"
"30","672302","2252","4453","0"
"31","675055","2264","4521","0"
"32","677595","2269","4590","0"
"33","679836","2278","4659","0"
"34","681828","2282","4709","0"
"35","683730","2288","4773","0"
"36","685311","2294","4836","0"
"37","686628","2297","4878","0"
"38","687813","2301","4921","0"
"39","688819","2305","4958","0"
"40","689725","2309","4997","0"
"41","690538","2317","5033","0"
"42","691265","2318","5061","0"
"43","691943","2321","5081","0"
"44","692613","2321","5106","0"
"45","693228","2321","5130","0"
"46","693786","2322","5154","0"
"47","694294","2324","5172","0"
"48","694733","2326","5184","0"
"49","695152","2331","5202","0"
"50","695572","2332","5213","0"
"51","695933","2335","5226","0"
"52","696242","2336","5241","0"
"53","696542","2337","5248","0"
"54","696813","2340","5260","0"
"55","697052","2345","5271","0"
"56","697284","2350","5285","0"
"57","697512","2352","5293","0"
"58","697730","2355","5305","0"
"59","697969","2358","5315","0"
"60","698215","2361","5323","0"
"61","698442","2365","5333","0"
"62","698676","2365","5341","0"
"63","698923","2366","5348","0"
"64","699165","2368","5355","0"
"65","699389","2371","5366","0"
"66","699607","2375","5378","0"
"67","699798","2377","5389","0"
"68","699975","2381","5400","0"
"69","700148","2385","5410","0"
"70","700313","2388","5420","0"
"71","700450","2393","5433","0"
"72","700575","2395","5442","0"
"73","700699","2398","5453","0"
"74","700815","2400","5461","0"
"75","700928","2401","5467","0"
"76","701042","2401","5475","0"
"77","701146","2404","5485","0"
"78","701245","2405","5495","0"
"79","701340","2406","5499","0"
"80","701431","2408","5507","0"
"81","701507","2410","5517","0"
"82","701576","2414","5524","0"
"83","701641","2416","5529","0"
"84","701700","2418","5535","0"
"85","701758","2422","5542","0"
"86","701818","2425","5548","0"
"87","701871","2428","5554","0"
"88","701924","2430","5562","0"
"89","701976","2431","5565","0"
"90","702028","2432","5571","0"
"91","702085","2434","5578","0"
"92","702138","2436","5584","0"
"93","702191","2437","5588","0"
"94","702244","2438","5591","0"
"95","702300","2440","5599","0"
"96","702358","2443","5611","0"
"97","702414","2447","5619","0"
"98","702462","2447","5622","0"
"99","702512","2449","5626","0"
"100","702559","2449","5627","0"
