alternative_routes_used,crossings,simulation_step,simulation_time,vehicles
0.0,0.0,1.0,8.3,0.0
1.0,0.0,2.0,12.2,0.0
1.0,0.0,3.0,20.3,0.0
2.0,1.0,4.0,35.2,1.0
2.0,3.0,5.0,61.7,3.0
5.0,8.0,6.0,118.8,8.0
6.0,11.0,7.0,210.0,11.0
6.0,15.0,8.0,327.2,15.0
8.0,21.0,9.0,459.0,19.0
9.0,25.0,10.0,580.6,21.0
10.0,28.0,11.0,675.6,23.0
12.0,34.0,12.0,797.4,27.0
13.0,39.0,13.0,912.7,31.0
14.0,41.0,14.0,995.8,32.0
15.0,44.0,15.0,1046.5,33.0
16.0,47.0,16.0,1083.6,33.0
17.0,50.0,17.0,1108.9,35.0
18.0,51.0,18.0,1121.2,35.0
19.0,53.0,19.0,1131.1,35.0
20.0,55.0,20.0,1138.0,36.0
20.0,55.0,21.0,1143.9,36.0
20.0,56.0,22.0,1150.4,36.0
20.0,58.0,23.0,1156.6,37.0
20.0,58.0,24.0,1159.4,37.0
20.0,59.0,25.0,1162.4,38.0
20.0,59.0,26.0,1163.7,38.0
20.0,61.0,27.0,1165.3,38.0
20.0,62.0,28.0,1166.4,38.0
20.0,64.0,29.0,1167.7,39.0
20.0,65.0,30.0,1168.0,39.0
20.0,66.0,31.0,1168.2,40.0
20.0,66.0,32.0,1168.4,40.0
20.0,66.0,33.0,1168.4,40.0
20.0,67.0,34.0,1169.0,40.0
