"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","1","0","0","0"
"2","2","0","0","1"
"3","5","0","0","1"
"4","14","1","1","2"
"5","35","3","3","2"
"6","77","8","8","5"
"7","136","11","11","6"
"8","214","15","15","6"
"9","345","19","21","8"
"10","455","21","25","9"
"11","545","23","28","10"
"12","658","27","34","12"
"13","760","31","39","13"
"14","831","32","41","14"
"15","873","33","44","15"
"16","924","33","47","16"
"17","955","35","50","17"
"18","972","35","51","18"
"19","980","35","53","19"
"20","990","36","55","20"
"21","997","36","55","20"
"22","1004","36","56","20"
"23","1012","37","58","20"
"24","1015","37","58","20"
"25","1019","38","59","20"
"26","1021","38","59","20"
"27","1023","38","61","20"
"28","1023","38","62","20"
"29","1025","39","64","20"
"30","1025","39","65","20"
"31","1025","40","66","20"
"32","1026","40","66","20"
"33","1026","40","66","20"
"34","1026","40","67","20"
