"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","0","0","0","0"
"2","2","0","0","1"
"3","6","0","0","1"
"4","18","1","1","2"
"5","37","3","3","2"
"6","73","8","8","5"
"7","127","11","11","6"
"8","196","15","15","6"
"9","289","19","21","8"
"10","397","21","25","9"
"11","483","23","28","10"
"12","586","27","34","12"
"13","681","31","39","13"
"14","759","32","41","14"
"15","801","33","44","15"
"16","831","33","47","16"
"17","851","35","50","17"
"18","861","35","51","18"
"19","869","35","53","19"
"20","874","36","55","20"
"21","879","36","55","20"
"22","884","36","56","20"
"23","889","37","58","20"
"24","891","37","58","20"
"25","893","38","59","20"
"26","894","38","59","20"
"27","895","38","61","20"
"28","896","38","62","20"
"29","897","39","64","20"
"30","897","39","65","20"
"31","898","40","66","20"
"32","898","40","66","20"
"33","898","40","66","20"
"34","898","40","67","20"
