"simulation_step","vehicles","alternative_routes_used"
"1","0","0"
"2","0","1"
"3","0","2"
"4","1","3"
"5","3","3"
"6","8","7"
"7","10","13"
"8","13","15"
"9","16","25"
"10","18","26"
"11","21","27"
"12","26","28"
"13","30","30"
"14","32","32"
"15","35","33"
"16","35","34"
"17","36","34"
"18","36","34"
"19","37","34"
"20","37","34"
"21","37","34"
"22","37","34"
"23","37","34"
"24","37","34"
"25","37","34"
"26","37","34"
"27","37","34"
"28","37","34"
"29","38","34"
"30","38","34"
"31","38","34"
"32","38","34"
"33","38","34"
"34","38","34"
"35","39","34"
"36","39","34"
"37","39","34"
"38","39","34"
"39","39","34"
"40","39","34"
"41","39","34"
"42","39","34"
"43","39","34"
"44","39","34"
"45","39","34"
"46","40","34"
