"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","9","0","0","0","0"
"2","41","0","0","2","6"
"3","130","0","0","15","28"
"4","363","22","22","44","56"
"5","952","64","64","92","96"
"6","2314","105","105","179","185"
"7","4898","155","155","299","374"
"8","9160","202","219","459","525"
"9","17606","254","297","682","786"
"10","31094","308","379","977","1162"
"11","45694","360","459","1336","1544"
"12","59191","407","536","1741","1970"
"13","73290","464","642","2194","2331"
"14","88108","493","724","2707","2698"
"15","104033","503","794","3273","3154"
"16","118306","515","865","3894","3491"
"17","130785","521","938","4577","3845"
"18","145778","529","996","5323","4273"
"19","161013","540","1051","6118","4694"
"20","173153","546","1108","6960","5223"
"21","185383","553","1164","7836","5612"
"22","196373","554","1209","8761","5928"
"23","206972","561","1248","9722","6192"
"24","216221","564","1293","10719","6469"
"25","225197","568","1339","11750","6652"
"26","235292","574","1389","12823","6869"
"27","243146","578","1432","13934","7072"
"28","249439","582","1465","15082","7263"
"29","255992","584","1499","16272","7450"
"30","263717","586","1544","17483","7680"
"31","269507","589","1574","18723","7896"
"32","274283","591","1599","19995","8086"
"33","278397","592","1628","21293","8240"
"34","282071","592","1671","22615","8439"
"35","285687","594","1690","23964","8629"
"36","289733","594","1716","25340","8951"
"37","293223","594","1748","26739","9146"
"38","296175","594","1783","28154","9358"
"39","298377","596","1802","29598","9609"
"40","300408","597","1827","31062","9763"
"41","302532","597","1855","32539","9888"
"42","304696","597","1878","34037","10004"
"43","306655","598","1900","35547","10132"
"44","308176","598","1921","37071","10249"
"45","309485","598","1941","38609","10339"
"46","310466","599","1957","40159","10393"
"47","311472","599","1968","41721","10454"
"48","312546","599","1985","43295","10521"
"49","313401","599","1998","44881","10580"
"50","314137","600","2016","46476","10623"
"51","314735","600","2025","48077","10662"
"52","315105","600","2039","49688","10680"
"53","315440","600","2045","51302","10692"
"54","315805","600","2059","52923","10705"
"55","316221","600","2063","54553","10731"
"56","316657","600","2074","56189","10753"
"57","317005","600","2081","57831","10776"
"58","317410","600","2090","59480","10798"
"59","317701","600","2095","61136","10820"
"60","318048","600","2104","62799","10841"
"61","318307","600","2109","64467","10861"
"62","318520","600","2117","66142","10872"
"63","318717","600","2121","67820","10883"
"64","318944","601","2132","69505","10894"
"65","319094","601","2136","71194","10906"
"66","319226","601","2144","72890","10915"
"67","319333","601","2147","74592","10923"
"68","319424","601","2155","76299","10931"
"69","319503","601","2156","78012","10939"
"70","319588","601","2164","79729","10946"
"71","319659","601","2167","81450","10953"
"72","319745","601","2173","83176","10960"
"73","319814","601","2174","84907","10968"
"74","319889","601","2178","86642","10975"
"75","319971","601","2180","88383","10982"
"76","320064","601","2186","90127","10989"
"77","320149","602","2187","91875","10996"
"78","320254","602","2190","93626","11003"
"79","320331","602","2191","95381","11010"
"80","320417","602","2194","97139","11017"
"81","320492","602","2196","98902","11024"
"82","320571","602","2199","100668","11035"
"83","320644","602","2199","102437","11046"
"84","320726","602","2201","104209","11057"
"85","320794","602","2201","105983","11068"
"86","320866","602","2203","107760","11079"
"87","320933","602","2207","109539","11090"
"88","321006","602","2211","111320","11101"
"89","321055","602","2212","113104","11108"
"90","321116","602","2213","114890","11115"
"91","321178","602","2213","116679","11122"
"92","321238","603","2216","118470","11129"
"93","321291","603","2217","120264","11136"
"94","321351","604","2220","122060","11143"
"95","321403","604","2221","123859","11150"
"96","321458","604","2223","125660","11156"
"97","321505","604","2224","127463","11162"
"98","321545","604","2225","129269","11166"
"99","321592","604","2227","131079","11171"
"100","321649","604","2229","132891","11176"
