"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","8","0","0","0","0"
"2","39","0","0","0","12"
"3","132","0","0","0","38"
"4","351","32","32","1","65"
"5","879","85","85","4","116"
"6","1874","147","147","9","198"
"7","3784","210","210","15","279"
"8","6778","278","307","22","369"
"9","11711","331","405","30","501"
"10","18708","406","539","43","686"
"11","27162","467","652","59","1002"
"12","35496","525","791","77","1061"
"13","43744","591","947","101","1200"
"14","51983","624","1098","126","1310"
"15","61532","634","1211","154","1691"
"16","70204","639","1342","182","1768"
"17","77486","639","1483","212","1863"
"18","85533","640","1617","245","1967"
"19","93883","640","1717","280","2077"
"20","103371","640","1829","315","2150"
"21","110695","640","1951","353","2373"
"22","117470","640","2079","391","2430"
"23","122902","640","2167","432","2746"
"24","127963","640","2271","475","2796"
"25","133972","640","2376","518","2850"
"26","139202","640","2491","561","2901"
"27","142655","640","2578","606","3497"
"28","146151","640","2663","652","3567"
"29","150539","640","2758","699","3669"
"30","154398","640","2866","748","3716"
"31","157263","640","2943","798","3781"
"32","159476","640","3023","849","3832"
"33","161249","640","3106","901","3884"
"34","162153","640","3206","953","3909"
"35","162646","640","3277","1005","3930"
"36","163066","640","3338","1058","3949"
"37","163429","640","3385","1112","3965"
"38","163637","640","3438","1166","3971"
"39","163749","640","3481","1220","3972"
"40","163793","640","3510","1274","3973"
"41","163817","640","3532","1328","3977"
"42","163825","640","3552","1382","3978"
"43","163827","640","3559","1436","3978"
"44","163828","640","3564","1490","3978"
"45","163828","640","3564","1544","3978"
"46","163828","640","3566","1598","3978"
"47","163828","640","3566","1652","3978"
"48","163829","640","3567","1706","3978"
"49","163829","640","3567","1760","3978"
"50","163829","640","3567","1814","3978"
"51","163829","640","3567","1868","3978"
"52","163829","640","3568","1922","3978"
