"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","27","0","0","0","0"
"2","137","0","0","52","0"
"3","534","0","0","197","0"
"4","1609","128","128","452","0"
"5","4449","286","286","865","0"
"6","10627","456","456","1461","0"
"7","23364","601","601","2245","0"
"8","46749","783","873","3245","0"
"9","88013","916","1105","4506","0"
"10","156403","1065","1372","6065","0"
"11","231899","1219","1620","7848","0"
"12","315440","1380","1935","9822","0"
"13","410338","1558","2240","12018","0"
"14","514501","1645","2496","14455","0"
"15","623535","1725","2735","17072","0"
"16","732108","1771","3003","19844","0"
"17","838101","1826","3265","22800","0"
"18","943749","1868","3504","25924","0"
"19","1051644","1915","3735","29206","0"
"20","1157929","1941","3964","32650","0"
"21","1259417","1977","4179","36260","0"
"22","1357981","2016","4431","40028","0"
"23","1453439","2042","4642","43970","0"
"24","1551946","2065","4869","48040","0"
"25","1662930","2083","5092","52276","0"
"26","1773316","2107","5309","56651","0"
"27","1890301","2125","5501","61164","0"
"28","2002452","2140","5713","65805","0"
"29","2118795","2152","5939","70591","0"
"30","2228133","2164","6139","75524","0"
"31","2338292","2176","6321","80629","0"
"32","2454730","2191","6535","85857","0"
"33","2561921","2203","6741","91239","0"
"34","2676130","2208","6933","96789","0"
"35","2787083","2224","7126","102475","0"
"36","2894081","2229","7312","108307","0"
"37","3002171","2236","7492","114296","0"
"38","3104741","2240","7675","120419","0"
"39","3197956","2245","7871","126668","0"
"40","3286265","2252","8044","133076","0"
"41","3373120","2257","8224","139604","0"
"42","3464528","2259","8402","146280","0"
"43","3553315","2262","8574","153077","0"
"44","3644178","2263","8740","160022","0"
"45","3730215","2265","8905","167063","0"
"46","3813823","2266","9092","174233","0"
"47","3896435","2267","9243","181535","0"
"48","3980212","2268","9406","188935","0"
"49","4057479","2268","9564","196468","0"
"50","4135164","2270","9728","204127","0"
"51","4211820","2273","9887","211882","0"
"52","4286093","2273","10052","219751","0"
"53","4357137","2273","10202","227747","0"
"54","4428627","2273","10361","235877","0"
"55","4497530","2275","10515","244121","0"
"56","4560277","2276","10668","252493","0"
"57","4626203","2278","10827","261010","0"
"58","4694401","2280","10985","269657","0"
"59","4763485","2281","11126","278425","0"
"60","4834644","2282","11267","287309","0"
"61","4910828","2282","11416","296306","0"
"62","4984975","2283","11563","305424","0"
"63","5058320","2283","11707","314687","0"
"64","5135956","2285","11840","324092","0"
"65","5209447","2286","11978","333593","0"
"66","5278157","2286","12118","343190","0"
"67","5347188","2287","12238","352918","0"
"68","5413836","2287","12378","362758","0"
"69","5486252","2288","12506","372712","0"
"70","5558648","2288","12638","382800","0"
"71","5624978","2288","12767","393004","0"
"72","5690130","2288","12903","403321","0"
"73","5756966","2288","13021","413782","0"
"74","5825591","2289","13139","424354","0"
"75","5893943","2289","13251","435022","0"
"76","5961351","2289","13395","445808","0"
"77","6023136","2290","13511","456720","0"
"78","6082914","2290","13624","467719","0"
"79","6145371","2290","13740","478836","0"
"80","6204916","2292","13849","490054","0"
"81","6259435","2292","13966","501372","0"
"82","6316962","2292","14081","512789","0"
"83","6373642","2293","14181","524322","0"
"84","6425557","2295","14306","535949","0"
"85","6474197","2295","14414","547676","0"
"86","6523895","2295","14530","559517","0"
"87","6572297","2295","14628","571482","0"
"88","6620023","2295","14746","583539","0"
"89","6666876","2295","14859","595692","0"
"90","6711717","2295","14964","607934","0"
"91","6752221","2295","15054","620246","0"
"92","6792108","2296","15167","632632","0"
"93","6831417","2296","15270","645149","0"
"94","6872167","2296","15374","657774","0"
"95","6914441","2296","15460","670491","0"
"96","6956604","2296","15549","683298","0"
"97","6996652","2297","15634","696184","0"
"98","7034052","2297","15752","709149","0"
"99","7070253","2297","15838","722225","0"
"100","7106920","2297","15916","735374","0"
