"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","7","0","0","0","0"
"2","35","0","0","11","0"
"3","137","0","0","44","0"
"4","402","37","37","102","0"
"5","1135","73","73","191","0"
"6","2704","113","113","329","0"
"7","5797","158","158","508","0"
"8","12186","196","221","729","0"
"9","23046","245","289","1018","0"
"10","40175","276","350","1374","0"
"11","59545","323","422","1786","0"
"12","79374","361","498","2230","0"
"13","98306","406","586","2713","0"
"14","118445","425","642","3236","0"
"15","139113","442","696","3801","0"
"16","160978","455","757","4398","0"
"17","186297","464","822","5028","0"
"18","212291","477","871","5699","0"
"19","237455","489","924","6391","0"
"20","260927","495","981","7127","0"
"21","281935","502","1024","7902","0"
"22","302306","511","1073","8717","0"
"23","322118","517","1117","9578","0"
"24","341100","522","1160","10469","0"
"25","358281","526","1208","11378","0"
"26","375886","531","1254","12307","0"
"27","390795","538","1294","13264","0"
"28","403970","543","1344","14246","0"
"29","419693","547","1395","15247","0"
"30","437318","549","1442","16280","0"
"31","457034","549","1481","17342","0"
"32","473954","553","1529","18428","0"
"33","488763","556","1578","19536","0"
"34","504685","556","1622","20676","0"
"35","520492","558","1662","21839","0"
"36","535190","559","1700","23015","0"
"37","548106","560","1734","24207","0"
"38","560641","562","1766","25427","0"
"39","576356","562","1797","26672","0"
"40","589868","562","1833","27940","0"
"41","602606","564","1871","29216","0"
"42","613195","565","1908","30501","0"
"43","622622","566","1934","31801","0"
"44","632700","568","1964","33112","0"
"45","641895","568","1990","34442","0"
"46","649527","568","2021","35794","0"
"47","655934","568","2047","37157","0"
"48","662135","570","2083","38537","0"
"49","668755","571","2112","39929","0"
"50","674787","572","2146","41331","0"
"51","680659","573","2164","42750","0"
"52","686214","573","2190","44173","0"
"53","691524","573","2207","45606","0"
"54","696158","573","2229","47050","0"
"55","700389","573","2257","48503","0"
"56","704433","574","2282","49968","0"
"57","708493","574","2298","51437","0"
"58","713051","574","2322","52914","0"
"59","717955","574","2341","54409","0"
"60","722412","575","2359","55909","0"
"61","725934","575","2372","57418","0"
"62","729466","576","2394","58934","0"
"63","732113","577","2408","60468","0"
"64","734142","577","2420","62019","0"
"65","736018","577","2436","63575","0"
"66","737804","577","2450","65143","0"
"67","739682","577","2465","66716","0"
"68","740954","577","2470","68301","0"
"69","742240","577","2482","69888","0"
"70","743372","577","2498","71478","0"
"71","744730","577","2509","73073","0"
"72","746075","577","2513","74671","0"
"73","747395","577","2524","76270","0"
"74","748769","577","2534","77871","0"
"75","750103","577","2547","79483","0"
"76","751315","577","2554","81098","0"
"77","752351","577","2564","82720","0"
"78","753162","577","2574","84345","0"
"79","753895","577","2580","85973","0"
"80","754628","577","2584","87602","0"
"81","755333","577","2592","89232","0"
"82","756074","577","2604","90867","0"
"83","756686","577","2609","92508","0"
"84","757304","578","2616","94149","0"
"85","757929","578","2621","95793","0"
"86","758511","578","2628","97439","0"
"87","759096","578","2632","99089","0"
"88","759827","578","2637","100743","0"
"89","760569","578","2641","102400","0"
"90","761310","578","2647","104060","0"
"91","761994","578","2651","105722","0"
"92","762599","578","2654","107391","0"
"93","763188","579","2660","109062","0"
"94","763755","579","2663","110737","0"
"95","764298","579","2665","112413","0"
"96","764824","579","2669","114092","0"
"97","765351","579","2673","115774","0"
"98","765830","579","2676","117458","0"
"99","766299","580","2680","119143","0"
"100","766797","580","2687","120828","0"
