"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","2","0","0","0","0"
"2","9","0","0","2","0"
"3","35","0","0","10","0"
"4","109","4","4","24","0"
"5","299","8","8","56","0"
"6","740","19","19","98","0"
"7","1600","29","29","160","0"
"8","2968","36","38","237","0"
"9","5112","47","51","333","0"
"10","7970","59","69","449","0"
"11","10827","68","83","574","0"
"12","13224","75","98","708","0"
"13","15328","92","121","854","0"
"14","17641","99","135","1011","0"
"15","20040","104","146","1181","0"
"16","22192","110","161","1354","0"
"17","23933","112","173","1532","0"
"18","25613","116","185","1714","0"
"19","27004","122","198","1902","0"
"20","28591","124","207","2104","0"
"21","30230","128","214","2311","0"
"22","31733","130","228","2523","0"
"23","33372","131","232","2748","0"
"24","34771","133","236","2973","0"
"25","36574","137","243","3200","0"
"26","38225","137","253","3429","0"
"27","40082","138","259","3661","0"
"28","41577","138","263","3898","0"
"29","42954","140","271","4138","0"
"30","44409","140","281","4378","0"
"31","45432","141","286","4625","0"
"32","46392","142","295","4876","0"
"33","46717","142","298","5127","0"
"34","47032","142","301","5378","0"
"35","47280","142","311","5629","0"
"36","47422","142","314","5880","0"
"37","47544","142","319","6133","0"
"38","47633","142","323","6388","0"
"39","47732","142","330","6645","0"
"40","47821","142","334","6904","0"
"41","47897","142","338","7163","0"
"42","47968","142","341","7423","0"
"43","48032","142","344","7684","0"
"44","48125","144","350","7947","0"
"45","48188","146","355","8211","0"
"46","48227","146","358","8476","0"
"47","48264","146","359","8741","0"
"48","48289","146","360","9006","0"
"49","48311","146","360","9271","0"
"50","48336","146","364","9536","0"
"51","48355","146","367","9804","0"
"52","48379","146","369","10072","0"
"53","48407","146","370","10341","0"
"54","48435","146","372","10610","0"
"55","48455","146","374","10879","0"
"56","48469","146","376","11148","0"
"57","48480","147","378","11417","0"
"58","48488","147","380","11686","0"
"59","48496","147","382","11955","0"
"60","48502","147","383","12224","0"
"61","48509","148","384","12493","0"
"62","48516","148","384","12762","0"
"63","48522","148","384","13031","0"
"64","48528","148","384","13300","0"
"65","48535","148","384","13569","0"
"66","48541","148","384","13838","0"
"67","48548","148","384","14107","0"
"68","48555","148","385","14376","0"
"69","48561","148","385","14645","0"
"70","48568","148","385","14914","0"
"71","48575","148","385","15183","0"
"72","48582","148","387","15452","0"
"73","48588","148","387","15722","0"
"74","48594","148","387","15992","0"
"75","48601","149","388","16262","0"
"76","48607","149","389","16532","0"
"77","48612","149","389","16803","0"
"78","48616","149","389","17074","0"
"79","48621","149","390","17345","0"
"80","48625","149","390","17616","0"
"81","48629","150","391","17887","0"
"82","48633","150","391","18158","0"
"83","48637","150","391","18429","0"
"84","48642","150","391","18700","0"
"85","48649","150","391","18971","0"
"86","48653","150","391","19242","0"
"87","48657","150","391","19513","0"
"88","48661","150","392","19784","0"
"89","48666","150","392","20055","0"
"90","48670","150","392","20326","0"
"91","48674","150","392","20597","0"
"92","48678","150","394","20868","0"
"93","48682","151","395","21139","0"
"94","48685","151","395","21410","0"
"95","48688","151","395","21681","0"
"96","48691","151","395","21952","0"
"97","48694","151","395","22223","0"
"98","48697","151","395","22494","0"
"99","48700","151","395","22765","0"
"100","48703","151","397","23036","0"
