"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","27","0","0","0","0"
"2","139","0","0","44","0"
"3","508","0","0","170","0"
"4","1510","104","104","413","0"
"5","4288","242","242","832","0"
"6","10567","396","396","1417","0"
"7","22784","568","568","2183","0"
"8","45571","743","800","3162","0"
"9","83155","901","1039","4397","0"
"10","144761","1091","1329","5894","0"
"11","212501","1292","1636","7551","0"
"12","289266","1504","1999","9388","0"
"13","368818","1686","2341","11427","0"
"14","459237","1801","2652","13654","0"
"15","545629","1874","2945","16094","0"
"16","631838","1930","3265","18695","0"
"17","714758","1976","3558","21499","0"
"18","800472","2015","3850","24501","0"
"19","889835","2055","4101","27697","0"
"20","983120","2089","4390","31050","0"
"21","1074278","2118","4640","34595","0"
"22","1169353","2143","4900","38285","0"
"23","1267077","2164","5167","42147","0"
"24","1359775","2186","5414","46158","0"
"25","1456404","2208","5662","50340","0"
"26","1553378","2220","5918","54678","0"
"27","1652051","2235","6172","59184","0"
"28","1753208","2248","6397","63857","0"
"29","1856238","2262","6615","68684","0"
"30","1953634","2275","6879","73665","0"
"31","2046075","2287","7110","78816","0"
"32","2138159","2298","7323","84098","0"
"33","2224655","2307","7555","89519","0"
"34","2312542","2311","7774","95092","0"
"35","2391562","2320","8023","100791","0"
"36","2464655","2325","8217","106639","0"
"37","2532434","2328","8418","112612","0"
"38","2597724","2332","8607","118699","0"
"39","2660357","2334","8834","124883","0"
"40","2726092","2340","8995","131197","0"
"41","2783277","2342","9171","137600","0"
"42","2837253","2345","9356","144102","0"
"43","2891493","2347","9539","150706","0"
"44","2947770","2349","9697","157414","0"
"45","3001278","2349","9855","164210","0"
"46","3050124","2352","9989","171087","0"
"47","3095854","2355","10155","178034","0"
"48","3138873","2356","10306","185077","0"
"49","3177691","2358","10435","192208","0"
"50","3216377","2358","10559","199400","0"
"51","3253091","2359","10698","206666","0"
"52","3292065","2360","10817","214020","0"
"53","3327500","2362","10956","221429","0"
"54","3359832","2362","11052","228911","0"
"55","3391334","2362","11150","236456","0"
"56","3423064","2362","11258","244047","0"
"57","3453320","2362","11362","251686","0"
"58","3480664","2363","11453","259368","0"
"59","3506824","2363","11551","267102","0"
"60","3530888","2363","11634","274896","0"
"61","3554038","2365","11710","282739","0"
"62","3576088","2365","11793","290622","0"
"63","3596821","2365","11876","298541","0"
"64","3617507","2369","11966","306498","0"
"65","3637351","2369","12026","314495","0"
"66","3655039","2371","12086","322528","0"
"67","3671949","2372","12151","330581","0"
"68","3689146","2374","12231","338664","0"
"69","3707033","2374","12268","346784","0"
"70","3724536","2375","12336","354920","0"
"71","3740883","2375","12389","363071","0"
"72","3756447","2375","12444","371248","0"
"73","3771009","2375","12494","379448","0"
"74","3785365","2375","12545","387668","0"
"75","3800676","2376","12588","395908","0"
"76","3817217","2377","12631","404156","0"
"77","3833389","2378","12678","412416","0"
"78","3848848","2380","12725","420686","0"
"79","3863051","2381","12763","428979","0"
"80","3876228","2382","12800","437286","0"
"81","3889069","2382","12836","445614","0"
"82","3902070","2382","12880","453959","0"
"83","3913756","2382","12916","462317","0"
"84","3924839","2384","12948","470686","0"
"85","3936203","2385","12989","479065","0"
"86","3947180","2387","13020","487460","0"
"87","3958034","2388","13048","495867","0"
"88","3967897","2388","13073","504285","0"
"89","3977519","2389","13095","512708","0"
"90","3987154","2389","13127","521139","0"
"91","3995494","2390","13161","529582","0"
"92","4003999","2391","13185","538038","0"
"93","4012334","2394","13219","546505","0"
"94","4020935","2398","13236","554989","0"
"95","4028700","2399","13268","563477","0"
"96","4036345","2399","13295","571982","0"
"97","4043393","2401","13318","580499","0"
"98","4049980","2401","13334","589028","0"
"99","4055990","2401","13362","597558","0"
"100","4061202","2403","13388","606098","0"
