"simulation_step","vehicles","alternative_routes_used"
"1","0","0"
"2","0","4"
"3","0","7"
"4","6","15"
"5","15","17"
"6","28","26"
"7","41","40"
"8","55","54"
"9","64","80"
"10","80","107"
"11","95","160"
"12","105","200"
"13","114","253"
"14","124","349"
"15","126","438"
"16","127","525"
"17","129","572"
"18","134","600"
"19","134","629"
"20","136","654"
"21","137","674"
"22","141","691"
"23","142","696"
"24","143","700"
"25","146","704"
"26","147","706"
"27","147","708"
"28","148","710"
"29","149","712"
"30","149","712"
"31","150","712"
"32","150","712"
"33","150","712"
"34","150","712"
"35","150","712"
"36","150","712"
"37","150","712"
"38","151","712"
"39","151","712"
"40","151","712"
"41","151","712"
"42","152","712"
"43","152","712"
"44","152","712"
"45","153","712"
"46","153","712"
"47","153","712"
"48","153","712"
"49","153","712"
"50","153","712"
"51","153","712"
"52","153","712"
"53","153","712"
"54","154","712"
"55","154","712"
"56","154","712"
"57","154","712"
"58","154","712"
"59","154","712"
"60","154","712"
"61","154","712"
"62","154","712"
"63","154","712"
"64","154","712"
"65","154","712"
"66","154","712"
"67","154","712"
"68","154","712"
"69","154","712"
"70","154","712"
"71","154","712"
"72","154","712"
"73","154","712"
"74","154","712"
"75","154","712"
"76","154","712"
"77","154","712"
"78","155","712"
"79","156","712"
"80","156","712"
"81","156","712"
"82","156","712"
"83","156","712"
"84","156","712"
"85","156","712"
"86","156","712"
"87","156","712"
"88","156","712"
"89","156","712"
"90","156","712"
"91","156","712"
"92","156","712"
"93","156","712"
"94","156","712"
"95","156","712"
"96","156","712"
"97","156","712"
"98","157","712"
"99","158","712"
"100","158","712"
"101","158","712"
"102","158","712"
"103","158","712"
"104","158","712"
"105","158","712"
"106","158","712"
"107","158","712"
"108","158","712"
"109","158","712"
"110","158","712"
"111","158","712"
"112","158","712"
"113","158","712"
"114","158","712"
"115","158","712"
"116","158","712"
"117","158","712"
"118","158","712"
"119","158","712"
"120","158","712"
"121","158","712"
"122","158","712"
"123","158","712"
"124","158","712"
"125","158","712"
"126","158","712"
"127","158","712"
"128","158","712"
"129","158","712"
"130","158","712"
"131","158","712"
"132","158","712"
"133","158","712"
"134","158","712"
"135","158","712"
"136","158","712"
"137","158","712"
"138","158","712"
"139","158","712"
"140","158","712"
"141","158","712"
"142","158","712"
"143","158","712"
"144","158","712"
"145","158","712"
"146","158","712"
"147","158","712"
"148","158","712"
"149","158","712"
"150","158","712"
"151","158","712"
"152","158","712"
"153","158","712"
"154","158","712"
"155","158","712"
"156","158","712"
"157","158","712"
"158","158","712"
"159","158","712"
"160","158","712"
"161","158","712"
"162","158","712"
"163","158","712"
"164","158","712"
"165","158","712"
"166","158","712"
"167","158","712"
"168","158","712"
"169","158","712"
"170","158","712"
"171","158","712"
"172","158","712"
"173","158","712"
"174","158","712"
"175","158","712"
"176","158","712"
"177","158","712"
"178","158","712"
"179","158","712"
"180","158","712"
"181","158","712"
"182","158","712"
"183","158","712"
"184","158","712"
"185","158","712"
"186","158","712"
"187","158","712"
"188","158","712"
"189","158","712"
"190","158","712"
"191","158","712"
"192","158","712"
"193","158","712"
"194","158","712"
"195","158","712"
"196","158","712"
"197","158","712"
"198","158","712"
"199","158","712"
"200","158","712"
"201","158","712"
"202","158","712"
"203","158","712"
"204","158","712"
"205","158","712"
"206","158","712"
"207","158","712"
"208","158","712"
"209","158","712"
"210","158","712"
"211","158","712"
"212","158","712"
"213","158","712"
"214","158","712"
"215","158","712"
"216","158","712"
"217","158","712"
"218","158","712"
"219","158","712"
"220","158","712"
"221","158","712"
"222","158","712"
"223","158","712"
"224","158","712"
"225","158","712"
"226","158","712"
"227","158","712"
"228","158","712"
"229","158","712"
"230","158","712"
"231","158","712"
"232","158","712"
"233","158","712"
"234","158","712"
"235","158","712"
"236","158","712"
"237","158","712"
"238","158","712"
"239","158","712"
"240","158","712"
"241","158","712"
"242","158","712"
"243","158","712"
"244","158","712"
"245","158","712"
"246","158","712"
"247","158","712"
"248","158","712"
"249","158","712"
"250","158","712"
"251","158","712"
"252","158","712"
"253","158","712"
"254","158","712"
"255","158","712"
"256","158","712"
"257","158","712"
"258","158","712"
"259","158","712"
"260","158","712"
"261","158","712"
"262","158","712"
"263","158","712"
"264","158","712"
"265","158","712"
"266","158","712"
"267","158","712"
"268","158","712"
"269","158","712"
"270","158","712"
"271","158","712"
"272","158","712"
"273","158","712"
"274","158","712"
"275","158","712"
"276","158","712"
"277","158","712"
"278","158","712"
"279","158","712"
"280","158","712"
"281","158","712"
"282","158","712"
"283","158","712"
"284","158","712"
"285","158","712"
"286","158","712"
"287","158","712"
"288","158","712"
"289","158","712"
"290","158","712"
"291","158","712"
"292","158","712"
"293","158","712"
"294","158","712"
"295","158","712"
"296","158","712"
"297","158","712"
"298","158","712"
"299","158","712"
"300","158","712"
"301","158","712"
"302","158","712"
"303","158","712"
"304","158","712"
"305","158","712"
"306","158","712"
"307","158","712"
"308","158","712"
"309","158","712"
"310","158","712"
"311","158","712"
"312","158","712"
"313","158","712"
"314","158","712"
"315","158","712"
"316","158","712"
"317","158","712"
"318","158","712"
"319","158","712"
"320","158","712"
"321","158","712"
"322","158","712"
"323","158","712"
"324","158","712"
"325","158","712"
"326","158","712"
"327","158","712"
"328","158","712"
"329","158","712"
"330","158","712"
"331","158","712"
"332","158","712"
"333","159","712"
"334","159","712"
"335","159","712"
"336","159","712"
"337","159","712"
"338","159","712"
"339","159","712"
"340","159","712"
"341","159","712"
"342","159","712"
"343","159","712"
"344","159","712"
"345","159","712"
"346","159","712"
"347","159","712"
"348","159","712"
"349","159","712"
"350","159","712"
"351","159","712"
"352","159","712"
"353","159","712"
"354","159","712"
"355","159","712"
"356","159","712"
"357","159","712"
"358","159","712"
"359","159","712"
"360","159","712"
"361","159","712"
"362","159","712"
"363","159","712"
"364","159","712"
"365","159","712"
"366","159","712"
"367","159","712"
"368","159","712"
"369","159","712"
"370","159","712"
"371","159","712"
"372","159","712"
"373","159","712"
"374","159","712"
"375","159","712"
"376","159","712"
"377","159","712"
"378","159","712"
"379","159","712"
"380","159","712"
"381","159","712"
"382","159","712"
"383","159","712"
"384","159","712"
"385","159","712"
"386","159","712"
"387","159","712"
"388","159","712"
"389","159","712"
"390","159","712"
"391","159","712"
"392","159","712"
"393","159","712"
"394","159","712"
"395","159","712"
"396","159","712"
"397","159","712"
"398","159","712"
"399","159","712"
"400","159","712"
"401","159","712"
"402","159","712"
"403","159","712"
"404","159","712"
"405","159","712"
"406","159","712"
"407","159","712"
"408","159","712"
"409","159","712"
"410","159","712"
"411","159","712"
"412","159","712"
"413","159","712"
"414","159","712"
"415","159","712"
"416","159","712"
"417","159","712"
"418","159","712"
"419","159","712"
"420","159","712"
"421","159","712"
"422","159","712"
"423","159","712"
"424","159","712"
"425","159","712"
"426","159","712"
"427","159","712"
"428","159","712"
"429","159","712"
"430","159","712"
"431","159","712"
"432","159","712"
"433","159","712"
"434","159","712"
"435","159","712"
"436","159","712"
"437","159","712"
"438","159","712"
"439","159","712"
"440","159","712"
"441","159","712"
"442","159","712"
"443","159","712"
"444","159","712"
"445","159","712"
"446","159","712"
"447","159","712"
"448","159","712"
"449","159","712"
"450","159","712"
"451","159","712"
"452","159","712"
"453","159","712"
"454","159","712"
"455","159","712"
"456","159","712"
"457","159","712"
"458","159","712"
"459","159","712"
"460","159","712"
"461","159","712"
"462","159","712"
"463","159","712"
"464","159","712"
"465","159","712"
"466","159","712"
"467","159","712"
"468","159","712"
"469","159","712"
"470","159","712"
"471","159","712"
"472","159","712"
"473","159","712"
"474","159","712"
"475","159","712"
"476","159","712"
"477","159","712"
"478","159","712"
"479","159","712"
"480","159","712"
"481","159","712"
"482","159","712"
"483","159","712"
"484","159","712"
"485","159","712"
"486","159","712"
"487","159","712"
"488","159","712"
"489","159","712"
"490","159","712"
"491","159","712"
"492","159","712"
"493","159","712"
"494","159","712"
"495","159","712"
"496","159","712"
"497","159","712"
"498","159","712"
"499","159","712"
"500","159","712"
"501","159","712"
"502","159","712"
"503","159","712"
"504","159","712"
"505","159","712"
"506","159","712"
"507","159","712"
"508","159","712"
"509","159","712"
"510","159","712"
"511","159","712"
"512","159","712"
"513","159","712"
"514","159","712"
"515","159","712"
"516","159","712"
"517","159","712"
"518","159","712"
"519","159","712"
"520","159","712"
"521","159","712"
"522","159","712"
"523","159","712"
"524","159","712"
"525","159","712"
"526","159","712"
"527","159","712"
"528","159","712"
"529","159","712"
"530","159","712"
"531","159","712"
"532","159","712"
"533","159","712"
"534","159","712"
"535","159","712"
"536","159","712"
"537","159","712"
"538","159","712"
"539","159","712"
"540","159","712"
"541","159","712"
"542","159","712"
"543","159","712"
"544","159","712"
"545","159","712"
"546","159","712"
"547","159","712"
"548","159","712"
"549","159","712"
"550","159","712"
"551","159","712"
"552","159","712"
"553","159","712"
"554","159","712"
"555","159","712"
"556","159","712"
"557","159","712"
"558","159","712"
"559","159","712"
"560","159","712"
"561","159","712"
