"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","7","0","0","0","0"
"2","41","0","0","1","10"
"3","124","0","0","4","31"
"4","314","37","37","10","58"
"5","773","77","77","23","111"
"6","1714","127","127","50","179"
"7","3503","196","196","88","281"
"8","6644","255","284","142","394"
"9","11671","327","382","220","753"
"10","19207","367","462","336","1175"
"11","28022","432","583","463","1471"
"12","36211","486","699","618","1735"
"13","44839","555","849","788","2244"
"14","55249","585","941","989","3132"
"15","65831","599","1046","1220","4193"
"16","77258","606","1152","1482","5415"
"17","87550","609","1270","1765","6183"
"18","96498","612","1348","2084","7064"
"19","104139","616","1451","2417","7595"
"20","111814","621","1546","2778","8434"
"21","118681","623","1652","3160","8909"
"22","126184","626","1722","3565","9860"
"23","133470","627","1810","3992","10687"
"24","139779","627","1886","4448","11390"
"25","145966","629","1981","4916","11925"
"26","151552","630","2049","5399","12681"
"27","156537","631","2143","5890","12892"
"28","161335","632","2221","6394","13083"
"29","165795","633","2305","6905","13342"
"30","170348","633","2372","7426","15536"
"31","174905","633","2458","7955","16166"
"32","179708","633","2527","8500","17421"
"33","185435","633","2612","9052","18569"
"34","189150","634","2682","9623","18922"
"35","192615","635","2757","10200","19534"
"36","195801","635","2818","10788","19785"
"37","199477","635","2882","11383","20856"
"38","202648","635","2933","11990","21164"
"39","205204","635","2987","12607","21585"
"40","207653","636","3028","13235","22177"
"41","208886","636","3072","13870","22353"
"42","209497","636","3114","14510","22392"
"43","210113","636","3148","15152","22461"
"44","210457","636","3170","15799","22483"
"45","210705","636","3198","16447","22498"
"46","210902","636","3219","17097","22507"
"47","211026","636","3244","17747","22514"
"48","211086","636","3264","18398","22517"
"49","211130","636","3282","19051","22522"
"50","211174","636","3296","19704","22526"
"51","211201","636","3315","20357","22528"
"52","211225","636","3332","21010","22530"
"53","211243","636","3343","21663","22530"
"54","211259","636","3352","22316","22531"
"55","211275","636","3358","22969","22532"
"56","211290","636","3368","23622","22532"
"57","211299","636","3375","24275","22532"
"58","211307","636","3380","24928","22532"
"59","211312","636","3386","25581","22532"
"60","211317","636","3391","26234","22532"
"61","211321","636","3394","26887","22533"
"62","211327","636","3395","27540","22533"
"63","211332","636","3396","28193","22533"
"64","211338","636","3398","28846","22533"
"65","211343","636","3400","29499","22533"
"66","211345","636","3400","30152","22533"
"67","211348","636","3400","30805","22533"
"68","211351","636","3402","31458","22533"
"69","211354","636","3403","32111","22533"
"70","211357","636","3403","32764","22533"
"71","211359","636","3404","33417","22533"
"72","211362","636","3406","34070","22533"
"73","211365","636","3407","34724","22533"
"74","211368","636","3407","35378","22533"
"75","211371","636","3408","36032","22533"
"76","211374","636","3409","36686","22533"
"77","211376","636","3409","37340","22533"
"78","211379","636","3410","37994","22533"
"79","211381","636","3412","38648","22533"
"80","211384","636","3412","39302","22533"
"81","211386","636","3412","39956","22533"
"82","211389","636","3413","40610","22533"
"83","211391","636","3415","41264","22533"
"84","211393","636","3415","41918","22533"
"85","211396","636","3415","42572","22533"
"86","211398","636","3417","43226","22533"
"87","211399","636","3419","43880","22533"
"88","211400","636","3419","44534","22533"
"89","211401","636","3419","45188","22533"
"90","211402","636","3420","45842","22533"
"91","211403","636","3421","46496","22533"
"92","211404","637","3422","47150","22533"
"93","211405","637","3422","47804","22533"
"94","211406","637","3424","48458","22533"
"95","211407","637","3424","49112","22533"
"96","211408","637","3424","49766","22533"
"97","211409","637","3424","50420","22533"
"98","211411","637","3425","51074","22533"
"99","211412","637","3426","51728","22533"
"100","211412","637","3426","52382","22533"
