"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","6","0","0","0","0"
"2","31","0","0","1","10"
"3","106","0","0","4","31"
"4","299","37","37","10","58"
"5","757","77","77","23","111"
"6","1702","127","127","50","179"
"7","3502","196","196","88","279"
"8","6642","255","284","142","392"
"9","11659","327","381","222","751"
"10","19197","369","462","339","1160"
"11","28084","434","584","471","1473"
"12","36068","487","697","627","1800"
"13","44946","556","846","805","2349"
"14","54516","585","943","1008","3285"
"15","64265","599","1050","1235","4092"
"16","74085","606","1158","1494","4884"
"17","83320","611","1278","1781","5413"
"18","91324","613","1359","2094","6077"
"19","99538","617","1456","2425","6662"
"20","107018","622","1552","2776","7551"
"21","112758","624","1653","3153","7859"
"22","117958","626","1732","3547","8236"
"23","124108","627","1821","3964","8494"
"24","130127","628","1898","4409","8837"
"25","137078","629","1986","4869","9596"
"26","142755","631","2056","5341","9918"
"27","147505","631","2146","5822","10506"
"28","152235","632","2222","6324","10804"
"29","156966","633","2301","6834","11059"
"30","161137","633","2362","7366","11385"
"31","164782","633","2444","7918","11519"
"32","167983","633","2514","8488","11838"
"33","171153","634","2588","9066","12055"
"34","174154","634","2650","9661","12165"
"35","177441","634","2720","10269","12369"
"36","180049","634","2788","10889","12443"
"37","182414","634","2854","11521","12542"
"38","184539","635","2895","12161","12697"
"39","186487","635","2946","12807","12896"
"40","187643","635","2996","13459","12955"
"41","188603","635","3048","14119","13033"
"42","189095","635","3081","14784","13070"
"43","189384","636","3121","15452","13090"
"44","189566","636","3151","16122","13111"
"45","189706","636","3177","16792","13121"
"46","189807","636","3196","17462","13123"
"47","189870","636","3217","18132","13124"
"48","189921","636","3238","18803","13125"
"49","189965","636","3259","19477","13127"
"50","189989","636","3275","20151","13132"
"51","190020","636","3288","20825","13137"
"52","190038","636","3304","21499","13137"
"53","190056","636","3316","22173","13141"
"54","190077","636","3327","22848","13141"
"55","190095","636","3331","23523","13141"
"56","190111","636","3343","24198","13141"
"57","190121","636","3352","24875","13142"
"58","190133","636","3360","25553","13145"
"59","190141","636","3364","26231","13149"
"60","190148","636","3373","26909","13149"
"61","190151","636","3376","27587","13150"
"62","190154","636","3380","28265","13150"
"63","190157","636","3381","28943","13150"
"64","190160","636","3386","29621","13150"
"65","190162","637","3389","30299","13150"
"66","190164","637","3394","30977","13151"
"67","190167","637","3397","31655","13152"
"68","190168","637","3399","32333","13152"
"69","190170","637","3400","33011","13152"
"70","190172","637","3404","33689","13152"
"71","190173","637","3406","34367","13152"
"72","190174","637","3406","35046","13152"
"73","190176","637","3407","35725","13152"
"74","190177","637","3408","36404","13152"
"75","190179","637","3409","37083","13153"
"76","190180","637","3409","37762","13154"
"77","190181","637","3410","38441","13155"
"78","190182","637","3411","39120","13156"
"79","190182","637","3411","39799","13156"
"80","190183","637","3411","40478","13156"
"81","190183","637","3412","41157","13156"
"82","190184","637","3412","41836","13156"
"83","190184","637","3412","42515","13156"
"84","190185","637","3412","43194","13156"
"85","190186","637","3413","43873","13156"
"86","190186","637","3413","44552","13156"
"87","190187","637","3413","45231","13156"
"88","190187","637","3413","45910","13156"
"89","190188","637","3413","46589","13156"
"90","190188","637","3413","47268","13156"
"91","190189","637","3413","47947","13156"
"92","190189","637","3413","48626","13156"
"93","190190","637","3413","49305","13156"
"94","190190","637","3414","49984","13156"
"95","190191","637","3414","50663","13156"
"96","190191","637","3414","51342","13156"
"97","190192","637","3414","52021","13156"
"98","190192","637","3414","52700","13156"
"99","190193","637","3414","53379","13156"
"100","190193","638","3416","54058","13156"
