"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","278","0","0","0","0"
"2","642","0","0","1","10"
"3","1149","0","0","4","31"
"4","1775","37","37","10","58"
"5","2982","77","77","23","111"
"6","4910","127","127","50","179"
"7","7238","196","196","88","281"
"8","10964","255","284","142","394"
"9","16688","327","381","222","753"
"10","24386","368","461","339","1162"
"11","33397","433","583","470","1478"
"12","41606","486","696","627","1804"
"13","50651","555","845","807","2306"
"14","60995","584","939","1015","3321"
"15","71915","598","1046","1247","4396"
"16","82938","603","1152","1508","5102"
"17","93022","606","1269","1800","5774"
"18","101510","608","1348","2118","6787"
"19","109237","613","1452","2454","7354"
"20","115452","618","1550","2816","8251"
"21","121321","619","1656","3200","8536"
"22","127350","623","1726","3604","8924"
"23","133918","624","1814","4025","9346"
"24","140575","625","1898","4465","9669"
"25","147597","630","1990","4924","11046"
"26","153886","632","2063","5391","11634"
"27","159315","632","2155","5876","12113"
"28","165467","633","2231","6373","12538"
"29","170988","635","2306","6887","12932"
"30","176426","635","2375","7419","13820"
"31","180357","635","2457","7963","14019"
"32","184710","635","2532","8524","14553"
"33","189770","636","2605","9100","14903"
"34","194165","636","2655","9694","15194"
"35","197798","636","2726","10297","15388"
"36","201624","636","2793","10917","15782"
"37","206052","636","2861","11543","16148"
"38","208983","636","2902","12174","16384"
"39","212328","636","2946","12816","16990"
"40","214805","636","2990","13470","17581"
"41","216611","636","3036","14135","18162"
"42","217471","636","3066","14811","18344"
"43","217826","636","3103","15488","18374"
"44","218042","636","3142","16167","18392"
"45","218252","636","3162","16849","18404"
"46","218437","636","3176","17534","18412"
"47","218627","636","3201","18219","18419"
"48","218785","636","3231","18904","18426"
"49","218844","636","3251","19590","18431"
"50","218893","636","3265","20276","18433"
"51","218952","636","3273","20963","18436"
"52","218994","636","3294","21650","18437"
"53","219024","636","3304","22337","18439"
"54","219047","636","3318","23024","18440"
"55","219057","636","3323","23711","18440"
"56","219067","636","3335","24398","18440"
"57","219079","636","3342","25085","18440"
"58","219088","636","3349","25772","18440"
"59","219096","636","3351","26459","18440"
"60","219104","636","3356","27146","18440"
"61","219108","636","3358","27833","18440"
"62","219113","636","3362","28520","18441"
"63","219117","636","3364","29207","18441"
"64","219121","636","3366","29894","18441"
"65","219125","636","3366","30581","18441"
"66","219129","636","3369","31268","18441"
"67","219133","636","3369","31955","18442"
"68","219137","636","3371","32642","18442"
"69","219139","636","3372","33329","18442"
"70","219142","636","3376","34016","18442"
"71","219143","636","3376","34703","18442"
"72","219144","636","3376","35390","18442"
"73","219146","636","3377","36077","18442"
"74","219147","636","3379","36764","18442"
"75","219148","636","3379","37451","18442"
"76","219149","636","3381","38138","18442"
"77","219150","636","3383","38825","18442"
"78","219151","637","3385","39512","18442"
"79","219152","637","3385","40199","18442"
"80","219153","637","3385","40886","18442"
"81","219154","637","3386","41573","18442"
"82","219154","637","3386","42260","18442"
"83","219155","637","3386","42947","18442"
"84","219156","637","3386","43634","18442"
"85","219157","637","3388","44321","18442"
"86","219158","637","3388","45008","18442"
"87","219159","638","3389","45695","18442"
"88","219160","638","3389","46382","18442"
"89","219160","638","3390","47069","18442"
"90","219161","639","3391","47756","18442"
"91","219162","639","3391","48443","18442"
"92","219162","639","3392","49130","18442"
"93","219163","639","3394","49817","18442"
"94","219164","639","3394","50504","18442"
"95","219164","639","3395","51191","18442"
"96","219165","639","3395","51878","18442"
"97","219166","639","3396","52565","18442"
"98","219167","639","3397","53252","18442"
"99","219167","639","3399","53939","18442"
"100","219168","639","3399","54626","18442"
