alternative_routes_used,crossings,simulation_step,simulation_time,vehicles
0.0,0.0,1.0,77.3,0.0
48.0,0.0,2.0,242.8,0.0
144.0,0.0,3.0,597.4,0.0
246.0,139.0,4.0,1470.6,139.0
464.0,324.0,5.0,3363.6,324.0
828.2,534.6,6.0,7168.9,534.6
1255.0,799.6,7.0,14001.9,799.6
2039.6,1146.1,8.0,26314.8,1027.4
3023.1,1538.8,9.0,46824.3,1277.6
4604.1,1962.9,10.0,81059.7,1531.2
7176.9,2392.1,11.0,120686.3,1753.3
10417.3,2904.8,12.0,163409.9,1974.7
23609.3,3467.9,13.0,215482.0,2226.3
34120.5,3915.9,14.0,276017.4,2341.9
50614.0,4328.8,15.0,340668.1,2405.5
59838.8,4761.5,16.0,405690.0,2430.6
73440.4,5219.0,17.0,472643.8,2449.6
85910.7,5599.8,18.0,544910.3,2463.9
109556.8,5957.3,19.0,624667.1,2471.8
140191.4,6315.5,20.0,706471.0,2485.4
173512.1,6679.4,21.0,788739.8,2492.1
210663.9,7011.9,22.0,873352.2,2498.8
248094.6,7334.9,23.0,959923.6,2507.0
297267.9,7643.7,24.0,1047207.8,2512.6
349529.7,7954.8,25.0,1137782.3,2516.0
398549.3,8242.1,26.0,1229508.0,2519.0
448173.4,8528.8,27.0,1319255.4,2522.5
493164.3,8793.7,28.0,1404021.2,2525.2
538793.8,9068.5,29.0,1487839.9,2526.6
597392.3,9340.9,30.0,1569980.0,2528.9
643572.6,9606.2,31.0,1651839.7,2531.4
688601.3,9844.9,32.0,1736479.3,2532.9
741509.2,10095.0,33.0,1824519.9,2534.8
825668.6,10341.5,34.0,1912493.5,2535.7
892363.0,10585.6,35.0,1997361.9,2536.0
950945.2,10809.4,36.0,2078868.1,2536.9
1013145.7,11046.8,37.0,2158879.9,2537.4
1063624.6,11270.9,38.0,2234419.2,2537.5
1148521.3,11493.4,39.0,2311909.2,2537.8
1201591.0,11705.5,40.0,2386030.9,2538.1
1243557.9,11921.3,41.0,2456253.1,2538.5
1324135.1,12139.9,42.0,2525258.5,2538.8
1404907.4,12351.3,43.0,2593193.5,2539.4
1537670.9,12550.0,44.0,2659839.5,2539.7
1616302.1,12752.2,45.0,2724364.2,2540.0
1664650.2,12952.4,46.0,2788228.6,2540.5
1703591.5,13146.8,47.0,2851818.9,2541.1
1740232.3,13331.3,48.0,2914549.3,2541.5
1778003.9,13524.9,49.0,2976569.5,2541.8
1808822.1,13707.1,50.0,3035851.9,2542.4
1837374.6,13890.0,51.0,3094863.4,2543.0
1866607.1,14076.2,52.0,3153669.1,2543.0
1901610.2,14254.0,53.0,3212474.2,2543.1
1947671.9,14426.5,54.0,3271199.2,2543.3
1986151.9,14596.3,55.0,3329017.4,2543.3
2024979.9,14771.0,56.0,3383861.8,2543.5
2051173.5,14937.4,57.0,3434986.7,2543.5
2075089.5,15104.0,58.0,3484662.4,2543.6
2098631.1,15258.3,59.0,3532861.4,2543.6
2146495.1,15425.2,60.0,3578204.4,2543.6
2176613.9,15581.0,61.0,3622367.8,2543.9
2201754.6,15737.7,62.0,3665648.9,2544.0
2221069.8,15883.0,63.0,3707454.2,2544.2
2245030.7,16034.3,64.0,3748137.1,2544.2
2264112.6,16181.5,65.0,3786924.4,2544.2
2278010.0,16333.4,66.0,3823224.8,2544.2
2291818.2,16475.1,67.0,3859216.0,2544.2
2306314.7,16624.8,68.0,3895469.6,2544.3
2321664.1,16760.6,69.0,3930785.8,2544.3
2335129.8,16905.3,70.0,3963736.4,2544.3
2350561.2,17035.5,71.0,3996344.2,2544.3
2368270.8,17174.7,72.0,4028752.9,2544.3
2387376.7,17292.9,73.0,4059914.8,2544.3
2406545.4,17425.7,74.0,4089756.4,2544.3
2423993.0,17552.8,75.0,4118674.5,2544.3
2443232.0,17678.7,76.0,4146970.7,2544.3
2458329.0,17797.4,77.0,4172805.9,2544.4
2472516.9,17918.4,78.0,4197839.3,2544.4
2483393.4,18039.0,79.0,4222391.7,2544.4
2495323.4,18157.4,80.0,4245256.5,2544.4
2503885.6,18263.5,81.0,4266470.9,2544.4
2516017.8,18379.0,82.0,4286579.2,2544.4
2526358.0,18491.8,83.0,4306123.1,2544.4
2538270.1,18599.6,84.0,4324936.3,2544.4
2555702.2,18698.1,85.0,4343025.3,2544.5
2586651.2,18804.0,86.0,4360961.7,2544.5
2597449.2,18910.1,87.0,4377577.5,2544.5
2614501.0,19009.0,88.0,4394048.4,2544.5
2620243.5,19100.0,89.0,4409869.6,2544.5
2625125.5,19196.2,90.0,4424612.0,2544.5
2629591.0,19293.3,91.0,4438702.3,2544.6
2634856.9,19381.4,92.0,4452145.2,2544.6
2639760.4,19468.6,93.0,4464830.4,2544.7
2646030.6,19557.7,94.0,4476981.9,2544.7
2650101.5,19646.0,95.0,4488939.9,2544.7
2655077.7,19725.0,96.0,4500625.5,2544.7
2658509.3,19803.2,97.0,4512090.4,2544.7
2663556.3,19880.0,98.0,4523428.0,2544.7
2667578.8,19957.8,99.0,4534039.5,2544.7
2670552.4,20030.9,100.0,4543842.9,2544.7
