"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","7","0","0","0","0"
"2","16","0","0","3","0"
"3","42","0","0","11","0"
"4","116","7","7","25","0"
"5","312","18","18","49","0"
"6","723","31","31","78","0"
"7","1345","46","46","117","0"
"8","2247","55","58","166","0"
"9","3611","67","77","224","0"
"10","5946","80","94","299","0"
"11","8682","88","108","376","0"
"12","10680","101","126","455","0"
"13","12562","113","145","538","0"
"14","13667","121","160","626","0"
"15","14449","122","165","720","0"
"16","15250","123","179","818","0"
"17","15853","125","193","921","0"
"18","16280","126","201","1027","0"
"19","16638","128","206","1133","0"
"20","16908","128","212","1241","0"
"21","17241","130","218","1350","0"
"22","17443","133","224","1461","0"
"23","17572","134","228","1572","0"
"24","17692","135","232","1683","0"
"25","17756","136","233","1794","0"
"26","17818","136","236","1905","0"
"27","17858","136","237","2016","0"
"28","17897","136","240","2127","0"
"29","17927","137","241","2238","0"
"30","17963","137","243","2349","0"
"31","17993","137","243","2460","0"
"32","18022","137","243","2571","0"
"33","18052","139","245","2682","0"
"34","18085","139","245","2794","0"
"35","18118","139","245","2906","0"
"36","18152","141","249","3018","0"
"37","18183","141","250","3130","0"
"38","18213","142","251","3242","0"
"39","18248","142","252","3354","0"
"40","18284","142","254","3467","0"
"41","18310","142","254","3580","0"
"42","18336","142","255","3693","0"
"43","18361","142","256","3806","0"
"44","18387","143","258","3920","0"
"45","18410","143","259","4034","0"
"46","18433","143","261","4148","0"
"47","18456","143","262","4262","0"
"48","18478","143","262","4376","0"
"49","18500","143","262","4490","0"
"50","18523","143","263","4604","0"
"51","18545","145","265","4718","0"
"52","18570","145","265","4832","0"
"53","18594","145","266","4946","0"
"54","18619","146","268","5060","0"
"55","18659","146","268","5177","0"
"56","18702","146","268","5294","0"
"57","18746","149","272","5411","0"
"58","18756","149","273","5528","0"
"59","18764","149","273","5645","0"
"60","18773","149","273","5762","0"
"61","18782","149","273","5879","0"
"62","18791","149","274","5996","0"
"63","18796","149","276","6113","0"
"64","18800","149","276","6230","0"
"65","18804","151","278","6347","0"
"66","18808","151","278","6464","0"
"67","18812","151","279","6581","0"
"68","18816","151","279","6698","0"
"69","18819","151","279","6815","0"
"70","18823","151","279","6932","0"
"71","18827","151","282","7049","0"
"72","18831","151","282","7166","0"
"73","18834","151","282","7283","0"
"74","18837","151","282","7400","0"
"75","18844","151","283","7517","0"
"76","18847","151","283","7634","0"
"77","18851","151","283","7751","0"
"78","18854","151","283","7868","0"
"79","18857","151","283","7985","0"
"80","18861","152","284","8102","0"
"81","18864","153","285","8219","0"
"82","18868","153","285","8336","0"
"83","18871","153","285","8453","0"
"84","18874","153","285","8570","0"
"85","18878","153","285","8687","0"
"86","18881","154","286","8804","0"
"87","18883","154","286","8921","0"
"88","18884","154","287","9038","0"
"89","18886","155","289","9155","0"
"90","18888","155","289","9273","0"
"91","18891","155","289","9391","0"
"92","18894","155","290","9509","0"
"93","18895","155","290","9627","0"
"94","18897","155","290","9745","0"
"95","18898","155","291","9863","0"
"96","18899","155","291","9981","0"
"97","18900","155","291","10099","0"
"98","18901","155","291","10217","0"
"99","18902","155","292","10335","0"
"100","18902","155","292","10453","0"
