"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","7","0","0","0"
"2","34","0","0","6"
"3","127","0","0","28"
"4","365","22","22","56"
"5","938","64","64","96"
"6","2240","105","105","185"
"7","4713","155","155","374"
"8","8813","202","219","525"
"9","16941","254","297","786"
"10","29944","307","378","1162"
"11","44263","359","458","1546"
"12","58063","404","532","1993"
"13","72138","464","640","2429"
"14","87401","495","726","2865"
"15","101915","504","791","3227"
"16","114710","517","862","3592"
"17","126084","523","936","3964"
"18","140430","531","1001","4447"
"19","154318","539","1056","4923"
"20","166172","545","1114","5549"
"21","176541","554","1172","5960"
"22","186783","556","1217","6263"
"23","196301","563","1256","6495"
"24","203897","568","1295","6721"
"25","211267","569","1340","6899"
"26","218718","575","1387","7093"
"27","224643","580","1437","7279"
"28","228968","582","1475","7451"
"29","233020","586","1504","7636"
"30","236763","587","1548","7809"
"31","240559","590","1590","7955"
"32","243582","590","1622","8068"
"33","246128","591","1657","8171"
"34","248409","592","1690","8245"
"35","250458","594","1716","8323"
"36","252238","594","1743","8412"
"37","253991","595","1778","8502"
"38","255824","595","1809","8634"
"39","257393","595","1824","8725"
"40","258857","595","1844","8779"
"41","260176","595","1872","8825"
"42","261491","595","1894","8856"
"43","262784","595","1911","8881"
"44","264073","595","1933","8906"
"45","265500","595","1950","8951"
"46","266336","598","1966","9005"
"47","267155","599","1981","9041"
"48","267811","599","1999","9070"
"49","268360","600","2011","9092"
"50","268864","601","2023","9111"
"51","269304","601","2035","9134"
"52","269789","601","2047","9158"
"53","270186","601","2055","9176"
"54","270581","601","2065","9194"
"55","270969","601","2075","9220"
"56","271341","603","2086","9243"
"57","271707","603","2089","9264"
"58","272035","603","2100","9275"
"59","272318","603","2107","9310"
"60","272510","603","2116","9320"
"61","272703","603","2122","9342"
"62","272872","603","2131","9364"
"63","273049","603","2132","9387"
"64","273214","603","2139","9410"
"65","273328","603","2143","9420"
"66","273424","603","2149","9426"
"67","273494","603","2150","9433"
"68","273568","603","2155","9440"
"69","273646","603","2160","9448"
"70","273717","603","2162","9455"
"71","273788","603","2163","9462"
"72","273860","603","2168","9470"
"73","273923","603","2170","9478"
"74","273983","603","2171","9487"
"75","274044","604","2175","9495"
"76","274104","604","2177","9502"
"77","274163","605","2179","9509"
"78","274224","606","2181","9516"
"79","274282","607","2183","9524"
"80","274338","607","2183","9531"
"81","274393","607","2186","9538"
"82","274449","607","2187","9545"
"83","274508","607","2187","9552"
"84","274563","607","2188","9559"
"85","274619","607","2192","9566"
"86","274674","607","2193","9573"
"87","274734","607","2194","9580"
"88","274797","607","2195","9587"
"89","274859","607","2197","9594"
"90","274910","607","2198","9601"
"91","274958","608","2201","9608"
"92","275006","608","2201","9615"
"93","275057","608","2202","9622"
"94","275110","608","2205","9629"
"95","275163","608","2207","9637"
"96","275213","608","2210","9646"
"97","275263","608","2212","9654"
"98","275314","608","2214","9662"
"99","275358","608","2217","9670"
"100","275401","608","2219","9678"
