"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","1","0","0","0"
"2","5","0","0","0"
"3","19","0","0","0"
"4","67","5","5","0"
"5","161","11","11","0"
"6","318","20","20","0"
"7","653","36","36","0"
"8","1169","43","44","0"
"9","2162","58","62","0"
"10","4062","66","71","0"
"11","5614","74","84","0"
"12","7523","87","104","0"
"13","8923","98","124","0"
"14","9828","103","134","0"
"15","10912","108","142","0"
"16","11618","113","160","0"
"17","11970","115","172","0"
"18","12182","117","183","0"
"19","12344","123","193","0"
"20","12508","130","206","0"
"21","12626","131","211","0"
"22","12739","135","223","0"
"23","12799","136","225","0"
"24","12855","136","227","0"
"25","12897","139","239","0"
"26","12917","140","244","0"
"27","12937","144","254","0"
"28","12951","145","257","0"
"29","12965","146","258","0"
"30","12978","146","261","0"
"31","12991","146","265","0"
"32","13001","146","266","0"
"33","13010","146","268","0"
"34","13019","146","272","0"
"35","13024","146","272","0"
"36","13030","146","274","0"
"37","13035","147","276","0"
"38","13043","147","279","0"
"39","13046","147","279","0"
"40","13049","148","281","0"
"41","13053","148","281","0"
"42","13056","148","282","0"
"43","13059","148","282","0"
"44","13062","148","282","0"
"45","13066","149","284","0"
"46","13068","149","285","0"
"47","13069","149","285","0"
"48","13071","149","285","0"
"49","13073","149","286","0"
"50","13075","149","286","0"
"51","13077","149","286","0"
"52","13078","149","286","0"
"53","13080","149","287","0"
"54","13082","149","287","0"
"55","13084","149","287","0"
"56","13085","149","287","0"
"57","13087","149","287","0"
"58","13089","149","287","0"
"59","13091","150","288","0"
"60","13092","150","288","0"
"61","13094","150","288","0"
"62","13097","150","288","0"
"63","13099","150","288","0"
"64","13100","150","288","0"
"65","13102","150","288","0"
"66","13104","150","288","0"
"67","13105","150","288","0"
"68","13108","150","289","0"
"69","13110","152","291","0"
"70","13110","152","291","0"
"71","13111","153","292","0"
"72","13112","154","294","0"
"73","13113","154","294","0"
"74","13113","154","294","0"
"75","13114","155","295","0"
"76","13114","156","298","0"
"77","13114","156","298","0"
"78","13115","156","299","0"
"79","13115","156","300","0"
"80","13115","156","300","0"
"81","13116","156","300","0"
"82","13116","156","300","0"
"83","13116","156","301","0"
"84","13116","156","302","0"
"85","13116","156","302","0"
"86","13117","156","302","0"
"87","13117","156","302","0"
"88","13117","156","303","0"
"89","13117","156","303","0"
"90","13118","157","304","0"
"91","13118","157","304","0"
"92","13118","157","304","0"
"93","13118","157","304","0"
"94","13118","157","304","0"
"95","13118","157","304","0"
"96","13118","157","304","0"
"97","13119","157","304","0"
"98","13119","158","307","0"
"99","13119","158","307","0"
"100","13119","158","307","0"
