"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","1","0","0","0"
"2","5","0","0","0"
"3","16","0","0","0"
"4","44","5","5","0"
"5","114","11","11","0"
"6","312","20","20","0"
"7","645","36","36","0"
"8","1237","43","44","0"
"9","2003","58","62","0"
"10","3355","66","71","0"
"11","4812","74","84","0"
"12","6260","87","104","0"
"13","7375","98","124","0"
"14","8220","103","134","0"
"15","8988","108","142","0"
"16","9716","113","160","0"
"17","10639","115","172","0"
"18","10954","117","183","0"
"19","11312","123","193","0"
"20","11790","130","206","0"
"21","12139","131","211","0"
"22","12293","135","223","0"
"23","12465","136","225","0"
"24","12555","136","227","0"
"25","12640","139","239","0"
"26","12679","140","244","0"
"27","12708","144","254","0"
"28","12746","145","257","0"
"29","12773","146","258","0"
"30","12794","146","261","0"
"31","12820","146","265","0"
"32","12838","146","266","0"
"33","12853","146","268","0"
"34","12871","146","272","0"
"35","12881","146","272","0"
"36","12920","146","274","0"
"37","12931","147","276","0"
"38","12948","147","279","0"
"39","12954","147","279","0"
"40","12961","148","281","0"
"41","12967","148","281","0"
"42","12973","148","282","0"
"43","12981","148","282","0"
"44","12988","148","282","0"
"45","12993","149","284","0"
"46","12996","149","285","0"
"47","12999","149","285","0"
"48","13001","149","285","0"
"49","13003","149","286","0"
"50","13006","149","286","0"
"51","13008","149","286","0"
"52","13012","149","286","0"
"53","13016","149","287","0"
"54","13020","149","287","0"
"55","13023","149","287","0"
"56","13027","149","287","0"
"57","13029","149","287","0"
"58","13032","149","287","0"
"59","13035","150","288","0"
"60","13037","150","288","0"
"61","13040","150","288","0"
"62","13042","150","288","0"
"63","13045","150","288","0"
"64","13048","150","288","0"
"65","13051","150","288","0"
"66","13053","150","288","0"
"67","13056","150","288","0"
"68","13059","150","289","0"
"69","13061","152","291","0"
"70","13062","152","291","0"
"71","13063","153","292","0"
"72","13064","154","294","0"
"73","13065","154","294","0"
"74","13066","154","294","0"
"75","13066","155","295","0"
"76","13067","156","298","0"
"77","13067","156","298","0"
"78","13068","156","299","0"
"79","13068","156","300","0"
"80","13068","156","300","0"
"81","13068","156","300","0"
"82","13069","156","300","0"
"83","13069","156","301","0"
"84","13069","156","302","0"
"85","13069","156","302","0"
"86","13070","156","302","0"
"87","13070","156","302","0"
"88","13070","156","303","0"
"89","13070","156","303","0"
"90","13071","157","304","0"
"91","13071","157","304","0"
"92","13071","157","304","0"
"93","13071","157","304","0"
"94","13072","157","304","0"
"95","13072","157","304","0"
"96","13073","157","304","0"
"97","13073","157","304","0"
"98","13073","158","307","0"
"99","13073","158","307","0"
"100","13073","158","307","0"
