"simulation_step","vehicles","alternative_routes_used"
"1","0","0"
"2","0","40"
"3","0","116"
"4","113","210"
"5","277","370"
"6","466","612"
"7","669","894"
"8","866","1505"
"9","1059","2254"
"10","1235","3700"
"11","1448","4932"
"12","1659","6304"
"13","1895","7797"
"14","2017","9291"
"15","2096","10571"
"16","2138","11993"
"17","2175","13257"
"18","2202","14712"
"19","2235","15816"
"20","2266","16767"
"21","2294","17552"
"22","2312","18129"
"23","2328","18681"
"24","2351","19019"
"25","2368","19285"
"26","2384","19574"
"27","2395","19781"
"28","2404","19950"
"29","2417","20085"
"30","2424","20152"
"31","2431","20230"
"32","2435","20291"
"33","2437","20346"
"34","2439","20388"
"35","2440","20415"
"36","2442","20444"
"37","2443","20461"
"38","2446","20482"
"39","2449","20503"
"40","2451","20523"
"41","2452","20535"
"42","2452","20544"
"43","2454","20546"
"44","2457","20551"
"45","2457","20553"
"46","2457","20554"
"47","2459","20555"
"48","2463","20557"
"49","2465","20560"
"50","2466","20561"
"51","2468","20563"
"52","2469","20564"
"53","2474","20568"
"54","2475","20571"
"55","2477","20573"
"56","2479","20574"
"57","2480","20575"
"58","2480","20575"
"59","2483","20575"
"60","2485","20575"
"61","2485","20575"
"62","2485","20576"
"63","2488","20576"
"64","2491","20576"
"65","2492","20576"
"66","2493","20576"
"67","2493","20576"
"68","2493","20576"
"69","2493","20576"
"70","2495","20576"
"71","2497","20576"
"72","2498","20576"
"73","2498","20576"
"74","2498","20576"
"75","2499","20576"
"76","2502","20576"
"77","2503","20576"
"78","2503","20576"
"79","2505","20576"
"80","2506","20576"
"81","2506","20576"
"82","2511","20576"
"83","2513","20576"
"84","2513","20576"
"85","2514","20576"
"86","2517","20576"
"87","2518","20576"
"88","2519","20576"
"89","2519","20576"
"90","2520","20576"
"91","2521","20576"
"92","2525","20576"
"93","2526","20576"
"94","2526","20577"
"95","2526","20578"
"96","2526","20579"
"97","2526","20580"
"98","2527","20580"
"99","2528","20580"
"100","2530","20580"
"101","2530","20580"
"102","2530","20580"
"103","2530","20580"
"104","2530","20580"
"105","2530","20580"
"106","2531","20580"
"107","2532","20580"
"108","2532","20580"
"109","2533","20580"
"110","2533","20580"
"111","2533","20580"
"112","2533","20580"
"113","2533","20580"
"114","2533","20580"
"115","2533","20580"
"116","2533","20580"
"117","2533","20580"
"118","2533","20580"
"119","2535","20580"
"120","2535","20580"
"121","2535","20580"
"122","2535","20580"
"123","2535","20580"
"124","2535","20580"
"125","2535","20580"
"126","2535","20580"
"127","2535","20580"
"128","2535","20580"
"129","2535","20580"
"130","2535","20580"
"131","2535","20580"
"132","2535","20580"
"133","2535","20580"
"134","2535","20580"
"135","2535","20580"
"136","2535","20580"
"137","2535","20580"
"138","2536","20580"
"139","2537","20580"
"140","2537","20580"
"141","2537","20580"
"142","2537","20580"
"143","2537","20580"
"144","2537","20580"
"145","2537","20580"
"146","2537","20580"
"147","2537","20580"
"148","2537","20580"
"149","2537","20580"
"150","2537","20580"
"151","2537","20580"
"152","2537","20580"
"153","2537","20580"
"154","2537","20580"
"155","2537","20580"
"156","2538","20580"
"157","2538","20580"
"158","2538","20580"
"159","2538","20580"
"160","2538","20580"
"161","2538","20580"
"162","2538","20580"
"163","2538","20580"
"164","2538","20580"
"165","2538","20580"
"166","2538","20580"
"167","2538","20580"
"168","2538","20580"
"169","2539","20580"
"170","2540","20580"
"171","2540","20580"
"172","2540","20580"
"173","2540","20580"
"174","2541","20580"
"175","2542","20580"
"176","2542","20580"
"177","2542","20580"
"178","2543","20580"
"179","2543","20580"
"180","2544","20580"
"181","2544","20580"
"182","2544","20580"
"183","2544","20580"
"184","2544","20580"
"185","2544","20580"
"186","2546","20580"
"187","2546","20580"
"188","2546","20580"
"189","2546","20580"
"190","2546","20580"
"191","2546","20580"
"192","2546","20580"
"193","2546","20580"
"194","2546","20580"
"195","2546","20580"
"196","2546","20580"
"197","2546","20580"
"198","2546","20580"
"199","2546","20580"
"200","2547","20580"
"201","2548","20580"
"202","2548","20580"
"203","2548","20580"
"204","2548","20580"
"205","2548","20580"
"206","2548","20580"
"207","2549","20580"
"208","2549","20580"
"209","2549","20580"
"210","2549","20580"
"211","2549","20580"
"212","2549","20580"
"213","2549","20580"
"214","2549","20580"
"215","2550","20580"
"216","2550","20580"
"217","2550","20580"
"218","2550","20580"
"219","2550","20580"
"220","2550","20580"
"221","2550","20580"
"222","2550","20580"
"223","2550","20580"
"224","2550","20580"
"225","2550","20580"
"226","2550","20580"
"227","2550","20580"
"228","2550","20580"
"229","2550","20580"
"230","2550","20580"
"231","2550","20580"
"232","2550","20580"
"233","2550","20580"
"234","2551","20580"
"235","2551","20580"
"236","2552","20580"
"237","2552","20580"
"238","2552","20580"
"239","2552","20580"
"240","2552","20580"
"241","2552","20580"
"242","2552","20580"
"243","2552","20580"
"244","2552","20580"
"245","2552","20580"
"246","2552","20580"
"247","2552","20580"
"248","2552","20580"
"249","2552","20580"
"250","2552","20580"
"251","2552","20580"
"252","2552","20580"
"253","2552","20580"
"254","2552","20580"
"255","2552","20580"
"256","2552","20580"
"257","2552","20580"
"258","2552","20580"
"259","2553","20580"
"260","2553","20580"
"261","2553","20580"
"262","2553","20580"
"263","2553","20580"
"264","2553","20580"
"265","2554","20580"
"266","2554","20580"
"267","2554","20580"
"268","2554","20580"
"269","2554","20580"
"270","2554","20580"
"271","2554","20580"
"272","2554","20580"
"273","2554","20580"
"274","2554","20580"
"275","2555","20580"
"276","2555","20580"
"277","2555","20580"
"278","2555","20580"
"279","2555","20580"
"280","2555","20580"
"281","2555","20580"
"282","2555","20580"
"283","2555","20580"
"284","2555","20580"
"285","2555","20580"
"286","2555","20580"
"287","2555","20580"
"288","2555","20580"
