"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","7","0","0","0"
"2","32","0","0","13"
"3","110","0","0","40"
"4","298","31","31","74"
"5","739","85","85","128"
"6","1701","142","142","275"
"7","3451","191","191","356"
"8","6343","261","285","453"
"9","11059","322","385","681"
"10","18164","382","495","986"
"11","26105","447","597","1711"
"12","37783","505","727","3522"
"13","55103","562","859","9358"
"14","72553","588","956","12644"
"15","88956","606","1049","14804"
"16","104401","616","1155","16382"
"17","119663","617","1258","21822"
"18","133412","622","1330","26368"
"19","145827","625","1403","28987"
"20","154728","627","1478","29800"
"21","163636","628","1561","30426"
"22","171396","630","1621","31382"
"23","176731","632","1677","31841"
"24","181927","633","1727","32180"
"25","189244","633","1787","33766"
"26","194403","633","1841","34896"
"27","198729","633","1886","35349"
"28","202369","634","1933","35633"
"29","205195","634","1984","36106"
"30","208191","636","2021","36729"
"31","210749","637","2058","37216"
"32","212868","637","2098","37552"
"33","214252","637","2138","37841"
"34","215944","637","2175","38086"
"35","216769","637","2207","38221"
"36","217559","637","2238","38316"
"37","218194","637","2270","38393"
"38","218687","637","2295","38485"
"39","219130","637","2326","38556"
"40","219465","637","2353","38647"
"41","219778","637","2375","38697"
"42","220065","638","2395","38778"
"43","220451","638","2425","38843"
"44","220921","638","2441","39029"
"45","221225","638","2459","39098"
"46","221462","638","2470","39144"
"47","221641","638","2496","39171"
"48","221775","638","2511","39193"
"49","221867","638","2524","39204"
"50","221964","638","2535","39222"
"51","222040","638","2560","39229"
"52","222103","638","2571","39241"
"53","222161","638","2580","39246"
"54","222219","638","2595","39253"
"55","222294","638","2612","39261"
"56","222338","638","2621","39271"
"57","222364","638","2630","39279"
"58","222394","638","2638","39287"
"59","222420","638","2649","39294"
"60","222443","638","2654","39301"
"61","222457","638","2663","39304"
"62","222468","638","2674","39307"
"63","222475","638","2678","39309"
"64","222485","638","2682","39312"
"65","222494","638","2685","39315"
"66","222504","638","2692","39318"
"67","222512","638","2694","39322"
"68","222517","638","2696","39323"
"69","222525","638","2698","39326"
"70","222533","639","2700","39326"
"71","222545","639","2701","39326"
"72","222551","639","2703","39326"
"73","222555","639","2706","39326"
"74","222560","639","2709","39326"
"75","222564","639","2710","39326"
"76","222569","639","2712","39326"
"77","222573","639","2716","39326"
"78","222576","639","2717","39327"
"79","222580","639","2717","39328"
"80","222583","639","2719","39329"
"81","222587","639","2721","39330"
"82","222589","639","2723","39330"
"83","222591","639","2725","39330"
"84","222592","639","2726","39330"
"85","222594","639","2728","39330"
"86","222595","639","2728","39330"
"87","222597","639","2730","39330"
"88","222598","639","2731","39330"
"89","222599","639","2733","39330"
"90","222601","639","2734","39331"
"91","222602","639","2735","39331"
"92","222604","639","2736","39331"
"93","222605","639","2740","39331"
"94","222606","639","2740","39331"
"95","222607","639","2741","39331"
"96","222609","639","2741","39331"
"97","222610","639","2744","39331"
"98","222611","639","2744","39331"
"99","222611","639","2744","39331"
"100","222612","639","2745","39331"
