"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","6","0","0","0"
"2","32","0","0","13"
"3","108","0","0","40"
"4","302","31","31","74"
"5","740","85","85","128"
"6","1713","142","142","275"
"7","3459","191","191","356"
"8","6354","261","285","453"
"9","11054","322","385","681"
"10","17998","382","495","953"
"11","26028","446","596","1406"
"12","37509","505","729","2779"
"13","54816","563","862","8606"
"14","69974","589","957","11208"
"15","84703","609","1053","13464"
"16","95273","618","1160","14499"
"17","105531","620","1259","19453"
"18","116179","623","1335","36286"
"19","123673","623","1407","36896"
"20","130609","624","1491","37752"
"21","135901","626","1576","38263"
"22","141082","627","1636","38774"
"23","146212","628","1691","39320"
"24","151616","630","1749","39701"
"25","156741","631","1816","40429"
"26","160366","631","1863","41024"
"27","164358","632","1902","43312"
"28","169900","634","1958","45611"
"29","175310","635","2011","50189"
"30","182135","637","2042","58647"
"31","189351","637","2081","63372"
"32","195227","637","2114","67759"
"33","200093","637","2155","76134"
"34","204367","637","2191","80459"
"35","210306","637","2228","88769"
"36","217561","637","2252","105307"
"37","226618","637","2287","121817"
"38","231068","638","2314","122433"
"39","235387","638","2339","138886"
"40","239691","638","2364","147110"
"41","242730","638","2383","155347"
"42","245398","638","2408","159489"
"43","246888","638","2429","159593"
"44","247673","638","2452","160648"
"45","248079","638","2469","160799"
"46","248458","638","2487","161062"
"47","248854","638","2503","161192"
"48","249066","638","2523","161211"
"49","249345","638","2538","161275"
"50","249616","638","2559","161342"
"51","250099","638","2574","161474"
"52","250771","638","2587","161538"
"53","251058","638","2600","161546"
"54","251419","638","2618","161611"
"55","251585","638","2627","161644"
"56","251689","638","2634","161707"
"57","251801","639","2644","161738"
"58","251877","639","2657","161746"
"59","251976","639","2664","161809"
"60","252079","639","2669","161842"
"61","252177","639","2677","161905"
"62","252278","639","2682","161936"
"63","252351","639","2688","161943"
"64","252446","639","2692","162006"
"65","252611","639","2697","162038"
"66","252764","639","2700","162102"
"67","252924","639","2704","162133"
"68","253051","639","2705","162140"
"69","253144","639","2709","162203"
"70","253240","639","2711","162235"
"71","253339","639","2713","162298"
"72","253436","639","2713","162329"
"73","253505","639","2715","162336"
"74","253602","639","2715","162399"
"75","253698","639","2716","162431"
"76","253792","639","2718","162494"
"77","253892","639","2720","162525"
"78","253960","639","2720","162532"
"79","254052","639","2722","162595"
"80","254148","639","2724","162627"
"81","254245","639","2724","162690"
"82","254341","639","2724","162721"
"83","254409","639","2726","162728"
"84","254503","639","2727","162791"
"85","254598","639","2727","162823"
"86","254692","639","2728","162886"
"87","254788","639","2729","162917"
"88","254859","639","2729","162924"
"89","254950","639","2729","162987"
"90","255046","639","2731","163019"
"91","255142","639","2731","163082"
"92","255239","639","2731","163113"
"93","255305","639","2731","163120"
"94","255397","639","2732","163183"
"95","255495","639","2732","163215"
"96","255588","639","2732","163278"
"97","255685","639","2732","163309"
"98","255754","639","2733","163316"
"99","255846","639","2733","163379"
"100","255943","639","2736","163411"
