alternative_routes_used,crossings,simulation_step,simulation_time,vehicles
0.0,0.0,1.0,35.0,0.0
13.0,0.0,2.0,87.4,0.0
40.0,0.0,3.0,222.2,0.0
74.0,31.0,4.0,459.1,31.0
128.0,85.0,5.0,970.0,85.0
266.2,141.7,6.0,2049.7,141.7
353.0,191.0,7.0,3873.1,191.0
450.3,285.0,8.0,6828.8,261.0
670.4,385.0,9.0,11654.4,322.0
966.3,494.1,10.0,18770.7,382.0
1709.5,595.1,11.0,26818.1,446.0
3184.3,727.6,12.0,38415.4,504.8
8428.8,859.6,13.0,55366.2,562.9
10390.0,954.9,14.0,71541.7,589.5
11981.3,1047.6,15.0,86883.7,608.7
13465.8,1155.1,16.0,100240.0,617.8
18096.7,1255.3,17.0,112971.6,618.5
26220.7,1327.8,18.0,125812.1,622.7
28324.7,1400.3,19.0,137925.8,624.1
29663.4,1481.3,20.0,146582.2,625.8
30715.1,1563.0,21.0,153813.5,627.4
31786.4,1620.7,22.0,160186.1,628.6
33063.4,1678.9,23.0,165418.5,631.2
33823.5,1730.2,24.0,169712.4,632.9
34628.3,1794.8,25.0,173764.5,633.2
35279.2,1841.0,26.0,176912.9,633.6
35883.5,1882.6,27.0,179890.3,633.8
36534.5,1932.8,28.0,182658.8,634.6
37310.4,1989.7,29.0,184956.1,634.9
38985.0,2023.8,30.0,187403.9,636.1
39826.5,2058.9,31.0,189764.4,636.4
40751.0,2096.9,32.0,191868.3,636.5
41884.2,2141.4,33.0,193813.7,636.6
42629.0,2172.6,34.0,195564.0,636.9
43653.1,2203.9,35.0,197349.6,637.2
45526.2,2234.8,36.0,199074.4,637.2
47336.7,2271.6,37.0,200857.8,637.2
47538.2,2296.7,38.0,202033.0,637.3
49273.8,2322.3,39.0,203092.7,637.3
50213.9,2349.2,40.0,204103.7,637.3
51099.2,2375.1,41.0,204862.6,637.4
51575.2,2395.6,42.0,205511.2,637.5
51632.4,2416.5,43.0,206002.6,637.6
51784.6,2437.4,44.0,206381.7,637.6
51838.1,2456.7,45.0,206690.3,637.6
51895.8,2471.3,46.0,206958.4,637.6
51928.8,2488.8,47.0,207193.1,637.6
51955.2,2508.6,48.0,207405.8,637.6
51984.3,2524.8,49.0,207593.1,637.6
52008.2,2537.8,50.0,207761.1,637.6
52037.9,2551.6,51.0,207927.6,637.7
52056.5,2565.6,52.0,208089.0,637.7
52069.7,2577.4,53.0,208200.8,637.7
52088.9,2588.5,54.0,208305.4,637.7
52099.7,2599.7,55.0,208373.8,637.7
52110.5,2608.1,56.0,208420.2,637.7
52117.5,2618.3,57.0,208461.3,637.8
52121.7,2626.5,58.0,208504.4,637.8
52131.8,2634.3,59.0,208546.0,637.8
52138.6,2640.2,60.0,208583.1,637.8
52150.7,2648.3,61.0,208620.6,637.8
52155.0,2654.9,62.0,208651.3,637.8
52158.3,2660.4,63.0,208678.7,637.8
52165.7,2664.9,64.0,208706.7,637.8
52169.9,2670.8,65.0,208737.6,637.8
52177.3,2674.7,66.0,208765.0,637.8
52181.2,2678.4,67.0,208794.8,637.8
52182.4,2681.5,68.0,208820.1,637.8
52189.3,2685.2,69.0,208842.4,637.9
52193.0,2688.3,70.0,208863.9,638.1
52199.6,2690.5,71.0,208883.5,638.1
52203.0,2692.9,72.0,208902.6,638.1
52204.1,2695.4,73.0,208918.3,638.1
52210.7,2697.6,74.0,208935.9,638.2
52214.2,2699.3,75.0,208953.1,638.2
52220.8,2701.3,76.0,208968.0,638.2
52224.2,2703.1,77.0,208983.7,638.2
52225.3,2704.8,78.0,208995.9,638.2
52232.0,2705.8,79.0,209010.1,638.2
52235.7,2707.5,80.0,209024.7,638.2
52242.4,2708.9,81.0,209038.8,638.3
52245.8,2710.2,82.0,209052.7,638.4
52247.0,2711.6,83.0,209063.4,638.4
52253.5,2712.8,84.0,209076.5,638.5
52256.8,2714.1,85.0,209089.7,638.5
52263.2,2715.2,86.0,209102.4,638.7
52266.4,2716.2,87.0,209115.8,638.7
52267.3,2717.1,88.0,209126.5,638.7
52273.8,2718.3,89.0,209139.3,638.7
52277.3,2719.5,90.0,209152.4,638.7
52283.8,2720.1,91.0,209164.9,638.7
52287.1,2720.6,92.0,209177.9,638.7
52288.0,2721.9,93.0,209187.5,638.8
52294.5,2723.2,94.0,209200.0,638.8
52298.1,2724.3,95.0,209212.8,638.8
52304.5,2724.8,96.0,209225.5,638.8
52307.7,2725.7,97.0,209238.2,638.8
52308.6,2726.3,98.0,209247.9,638.8
52315.0,2727.1,99.0,209260.1,638.8
52318.3,2728.0,100.0,209272.5,638.8
