"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","7","0","0","0"
"2","34","0","0","13"
"3","118","0","0","40"
"4","326","31","31","74"
"5","769","85","85","128"
"6","1740","142","142","275"
"7","3493","191","191","356"
"8","6416","261","285","453"
"9","11175","322","385","673"
"10","18287","382","494","985"
"11","26218","446","595","1694"
"12","37655","505","727","3516"
"13","55071","562","859","9368"
"14","72259","588","958","12395"
"15","87190","607","1052","14185"
"16","99735","616","1158","15220"
"17","112662","617","1261","18472"
"18","124470","622","1334","21587"
"19","136443","624","1404","23492"
"20","144632","625","1482","24387"
"21","151212","627","1567","25304"
"22","158134","628","1622","26774"
"23","163248","630","1678","29068"
"24","167341","632","1722","30283"
"25","171233","632","1787","31611"
"26","173842","633","1831","32878"
"27","175768","633","1868","33145"
"28","177370","635","1921","33382"
"29","178884","635","1987","33647"
"30","180474","636","2020","33829"
"31","181770","636","2053","34072"
"32","183156","637","2086","34206"
"33","184299","637","2131","34317"
"34","185137","637","2167","34430"
"35","185661","638","2200","34509"
"36","186354","638","2231","34577"
"37","187358","638","2262","34684"
"38","188037","638","2285","34742"
"39","188789","638","2309","34797"
"40","189775","638","2329","34866"
"41","190473","638","2358","34909"
"42","190952","638","2373","34960"
"43","191262","638","2393","35015"
"44","191496","638","2410","35047"
"45","191647","638","2429","35086"
"46","191808","638","2436","35111"
"47","191984","638","2455","35135"
"48","192129","638","2478","35162"
"49","192210","638","2494","35172"
"50","192259","638","2498","35179"
"51","192303","638","2507","35181"
"52","192339","638","2521","35184"
"53","192369","638","2531","35187"
"54","192390","638","2543","35190"
"55","192402","638","2550","35193"
"56","192414","638","2556","35195"
"57","192424","638","2567","35196"
"58","192439","638","2570","35197"
"59","192452","638","2574","35201"
"60","192466","638","2580","35205"
"61","192480","638","2587","35209"
"62","192487","638","2591","35210"
"63","192495","638","2593","35211"
"64","192502","638","2600","35212"
"65","192508","638","2605","35213"
"66","192513","638","2607","35214"
"67","192519","638","2607","35215"
"68","192524","638","2609","35216"
"69","192530","638","2614","35217"
"70","192535","639","2617","35218"
"71","192540","639","2618","35219"
"72","192547","639","2620","35220"
"73","192552","639","2623","35221"
"74","192556","639","2623","35222"
"75","192560","639","2623","35223"
"76","192565","639","2624","35224"
"77","192569","639","2625","35225"
"78","192573","639","2626","35226"
"79","192577","639","2626","35227"
"80","192582","639","2627","35228"
"81","192586","639","2628","35229"
"82","192591","639","2629","35230"
"83","192593","639","2629","35230"
"84","192596","639","2629","35230"
"85","192599","639","2632","35230"
"86","192600","639","2634","35230"
"87","192602","639","2634","35230"
"88","192606","639","2635","35230"
"89","192608","639","2635","35230"
"90","192610","639","2636","35230"
"91","192611","639","2636","35230"
"92","192613","639","2637","35230"
"93","192614","639","2638","35230"
"94","192616","639","2640","35230"
"95","192617","639","2643","35231"
"96","192619","639","2644","35231"
"97","192620","639","2645","35231"
"98","192621","639","2646","35232"
"99","192622","639","2646","35232"
"100","192624","639","2647","35232"
