"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","32","0","0","0","0"
"2","142","0","0","0","45"
"3","496","0","0","0","139"
"4","1386","142","142","0","249"
"5","3495","345","345","1","474"
"6","7923","585","585","6","728"
"7","16007","835","835","14","1089"
"8","30046","1082","1215","28","1465"
"9","53323","1347","1673","51","2096"
"10","89241","1596","2146","80","2890"
"11","127657","1857","2644","111","3280"
"12","167579","2120","3269","147","3759"
"13","211207","2384","3968","196","4382"
"14","258888","2497","4529","254","5057"
"15","309810","2541","5030","317","5667"
"16","354852","2560","5638","385","6222"
"17","400514","2560","6305","458","6783"
"18","448567","2560","6829","545","8199"
"19","504593","2560","7304","639","9157"
"20","561359","2560","7880","739","9638"
"21","618748","2560","8520","844","10486"
"22","668972","2560","9019","956","11379"
"23","719562","2560","9474","1071","11757"
"24","772004","2560","10027","1187","12120"
"25","823566","2560","10639","1309","12730"
"26","865539","2560","11116","1434","13441"
"27","908382","2560","11550","1565","13919"
"28","950444","2560","12071","1703","14410"
"29","994113","2560","12650","1845","15012"
"30","1034569","2560","13114","1996","15945"
"31","1074395","2560","13531","2153","16447"
"32","1119210","2560","14026","2315","17024"
"33","1166207","2560","14581","2481","17485"
"34","1205237","2560","15024","2653","18040"
"35","1243060","2560","15428","2830","18408"
"36","1278634","2560","15905","3009","18863"
"37","1313588","2560","16437","3195","19305"
"38","1345802","2560","16864","3383","19958"
"39","1379416","2560","17259","3572","20264"
"40","1415510","2560","17717","3763","20698"
"41","1455704","2560","18228","3954","20949"
"42","1488587","2560","18637","4149","21390"
"43","1521353","2560","19015","4350","21841"
"44","1556556","2560","19456","4561","22177"
"45","1593398","2560","19944","4778","23478"
"46","1624023","2560","20342","5001","23906"
"47","1648289","2560","20711","5227","24295"
"48","1677252","2560","21142","5453","24562"
"49","1710281","2560","21613","5682","24917"
"50","1740566","2560","22000","5913","25335"
"51","1766380","2560","22357","6148","25615"
"52","1790517","2560","22773","6387","25902"
"53","1817995","2560","23225","6629","26230"
"54","1840876","2560","23595","6875","26735"
"55","1861921","2560","23943","7122","27094"
"56","1884141","2560","24338","7374","27329"
"57","1907823","2560","24774","7630","27789"
"58","1931691","2560","25127","7894","28759"
"59","1954986","2560","25468","8159","29111"
"60","1977698","2560","25855","8428","29310"
"61","2002014","2560","26285","8699","30255"
"62","2027080","2560","26625","8974","31690"
"63","2051811","2560","26946","9254","32053"
"64","2076543","2560","27319","9540","32341"
"65","2098499","2560","27727","9827","32582"
"66","2114095","2560","28051","10115","32784"
"67","2125141","2560","28368","10403","32902"
"68","2130910","2560","28654","10695","33140"
"69","2134944","2560","28943","10987","33248"
"70","2136749","2560","29130","11279","33302"
"71","2137442","2560","29313","11571","33310"
"72","2137784","2560","29462","11863","33317"
"73","2137894","2560","29606","12155","33323"
"74","2137920","2560","29661","12447","33323"
"75","2137933","2560","29704","12739","33323"
"76","2137937","2560","29722","13031","33323"
"77","2137938","2560","29728","13323","33323"
"78","2137939","2560","29729","13615","33323"
"79","2137940","2560","29733","13907","33323"
"80","2137941","2560","29736","14199","33323"
"81","2137941","2560","29737","14491","33323"
