"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","2","0","0","0","0"
"2","16","0","0","2","0"
"3","32","0","0","9","0"
"4","65","3","3","24","0"
"5","140","13","13","45","0"
"6","284","21","21","71","0"
"7","628","31","31","107","0"
"8","1313","40","43","163","0"
"9","2184","47","56","233","0"
"10","3612","57","67","314","0"
"11","5177","72","85","401","0"
"12","6375","86","102","499","0"
"13","7292","99","118","604","0"
"14","8112","105","131","710","0"
"15","8710","111","144","819","0"
"16","9162","113","154","929","0"
"17","9490","116","172","1042","0"
"18","9675","120","181","1157","0"
"19","9810","121","185","1275","0"
"20","9930","122","188","1393","0"
"21","10029","128","200","1511","0"
"22","10091","131","205","1630","0"
"23","10147","135","210","1752","0"
"24","10192","136","215","1877","0"
"25","10218","137","219","2004","0"
"26","10241","142","226","2131","0"
"27","10258","142","230","2261","0"
"28","10271","142","231","2391","0"
"29","10283","145","238","2521","0"
"30","10291","146","239","2652","0"
"31","10299","148","242","2783","0"
"32","10308","148","247","2916","0"
"33","10315","148","249","3049","0"
"34","10321","148","249","3182","0"
"35","10327","149","253","3315","0"
"36","10331","149","254","3449","0"
"37","10335","149","254","3583","0"
"38","10339","149","255","3717","0"
"39","10341","149","255","3853","0"
"40","10345","149","257","3989","0"
"41","10347","149","258","4125","0"
"42","10348","149","258","4261","0"
"43","10350","149","258","4397","0"
"44","10351","149","258","4533","0"
"45","10353","149","258","4669","0"
"46","10355","149","258","4805","0"
"47","10357","150","259","4941","0"
"48","10359","151","261","5077","0"
"49","10362","151","261","5213","0"
"50","10365","151","261","5349","0"
"51","10369","152","262","5485","0"
"52","10370","152","262","5621","0"
"53","10372","152","262","5757","0"
"54","10373","152","262","5893","0"
"55","10374","152","264","6029","0"
"56","10375","152","264","6165","0"
"57","10376","152","264","6301","0"
"58","10376","153","265","6437","0"
"59","10377","153","265","6573","0"
"60","10377","153","265","6709","0"
"61","10378","153","265","6845","0"
"62","10379","153","265","6981","0"
"63","10379","153","265","7117","0"
"64","10380","153","266","7253","0"
"65","10380","153","266","7389","0"
"66","10381","153","266","7525","0"
"67","10382","154","267","7661","0"
"68","10382","154","267","7797","0"
"69","10382","154","267","7933","0"
"70","10383","154","267","8069","0"
"71","10383","154","267","8205","0"
"72","10384","154","267","8341","0"
"73","10384","154","267","8477","0"
"74","10385","154","268","8613","0"
"75","10385","154","268","8749","0"
"76","10385","154","268","8885","0"
"77","10386","154","268","9021","0"
"78","10386","154","268","9157","0"
"79","10387","154","268","9293","0"
"80","10387","154","268","9429","0"
"81","10387","154","268","9565","0"
"82","10388","154","268","9701","0"
"83","10388","154","268","9837","0"
"84","10388","154","268","9973","0"
"85","10389","155","269","10109","0"
"86","10390","157","271","10245","0"
"87","10390","157","271","10381","0"
"88","10391","157","271","10517","0"
"89","10392","157","271","10653","0"
"90","10392","157","271","10789","0"
"91","10393","157","271","10925","0"
"92","10393","157","272","11061","0"
"93","10394","157","273","11197","0"
"94","10394","157","274","11333","0"
"95","10394","158","275","11469","0"
"96","10395","158","275","11605","0"
"97","10395","158","275","11741","0"
"98","10395","158","275","11877","0"
"99","10395","158","275","12013","0"
"100","10395","158","275","12149","0"
