"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","1","0","0","0"
"2","3","0","0","0"
"3","9","0","0","0"
"4","21","1","1","0"
"5","41","1","1","0"
"6","82","3","3","0"
"7","158","7","7","0"
"8","266","9","9","0"
"9","423","12","12","0"
"10","612","12","13","0"
"11","796","18","19","0"
"12","909","22","23","0"
"13","971","24","26","0"
"14","1012","27","29","0"
"15","1032","27","32","0"
"16","1049","28","33","0"
"17","1064","31","36","0"
"18","1076","31","36","0"
"19","1085","32","37","0"
"20","1095","34","41","0"
"21","1099","34","41","0"
"22","1103","34","41","0"
"23","1107","35","43","0"
"24","1108","35","43","0"
"25","1111","36","44","0"
"26","1114","37","47","0"
"27","1115","37","47","0"
"28","1115","37","47","0"
"29","1116","37","47","0"
"30","1117","37","47","0"
"31","1118","37","47","0"
"32","1119","37","47","0"
"33","1119","37","47","0"
"34","1120","37","47","0"
"35","1120","37","47","0"
"36","1121","37","47","0"
"37","1122","37","47","0"
"38","1123","37","47","0"
"39","1123","37","47","0"
"40","1124","37","47","0"
"41","1125","37","47","0"
"42","1125","39","49","0"
"43","1125","39","49","0"
"44","1126","40","50","0"
