"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","0","0","0","0"
"2","2","0","0","0"
"3","7","0","0","0"
"4","21","1","1","0"
"5","50","1","1","0"
"6","93","3","3","0"
"7","173","7","7","0"
"8","278","9","9","0"
"9","444","12","12","0"
"10","652","12","13","0"
"11","822","18","19","0"
"12","920","22","23","0"
"13","974","24","26","0"
"14","1018","27","29","0"
"15","1039","27","32","0"
"16","1058","28","33","0"
"17","1076","31","36","0"
"18","1086","31","36","0"
"19","1097","32","37","0"
"20","1109","34","41","0"
"21","1113","34","41","0"
"22","1118","34","41","0"
"23","1122","35","43","0"
"24","1123","35","43","0"
"25","1125","36","44","0"
"26","1126","37","47","0"
"27","1126","37","47","0"
"28","1126","37","47","0"
"29","1127","37","47","0"
"30","1127","37","47","0"
"31","1127","37","47","0"
"32","1128","37","47","0"
"33","1128","37","47","0"
"34","1128","37","47","0"
"35","1129","37","47","0"
"36","1129","37","47","0"
"37","1129","37","47","0"
"38","1130","37","47","0"
"39","1130","37","47","0"
"40","1130","37","47","0"
"41","1131","37","47","0"
"42","1131","39","49","0"
"43","1131","39","49","0"
"44","1131","40","50","0"
