"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","1","0","0","0"
"2","2","0","0","0"
"3","7","0","0","0"
"4","23","1","1","0"
"5","53","1","1","0"
"6","108","3","3","0"
"7","213","7","7","0"
"8","341","9","9","0"
"9","500","12","12","0"
"10","697","12","13","0"
"11","881","18","19","0"
"12","977","22","23","0"
"13","1031","24","26","0"
"14","1073","27","29","0"
"15","1094","27","32","0"
"16","1107","28","33","0"
"17","1124","31","36","0"
"18","1133","31","36","0"
"19","1146","32","37","0"
"20","1158","34","41","0"
"21","1161","34","41","0"
"22","1163","34","41","0"
"23","1166","35","43","0"
"24","1168","35","43","0"
"25","1169","36","44","0"
"26","1170","37","47","0"
"27","1170","37","47","0"
"28","1171","37","47","0"
"29","1171","37","47","0"
"30","1171","37","47","0"
"31","1172","37","47","0"
"32","1172","37","47","0"
"33","1172","37","47","0"
"34","1173","37","47","0"
"35","1173","37","47","0"
"36","1173","37","47","0"
"37","1173","37","47","0"
"38","1174","37","47","0"
"39","1174","37","47","0"
"40","1174","37","47","0"
"41","1175","37","47","0"
"42","1175","39","49","0"
"43","1175","39","49","0"
"44","1175","40","50","0"
