"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","0","0","0","0"
"2","1","0","0","0"
"3","8","0","0","0"
"4","19","1","1","0"
"5","45","1","1","0"
"6","91","3","3","0"
"7","178","7","7","0"
"8","318","9","9","0"
"9","511","12","12","0"
"10","749","12","13","0"
"11","996","18","19","0"
"12","1133","22","23","0"
"13","1198","24","26","0"
"14","1246","27","29","0"
"15","1268","27","32","0"
"16","1284","28","33","0"
"17","1296","31","36","0"
"18","1308","31","36","0"
"19","1319","32","37","0"
"20","1331","34","41","0"
"21","1334","34","41","0"
"22","1337","34","41","0"
"23","1342","35","43","0"
"24","1343","35","43","0"
"25","1346","36","44","0"
"26","1348","37","47","0"
"27","1348","37","47","0"
"28","1348","37","47","0"
"29","1349","37","47","0"
"30","1349","37","47","0"
"31","1350","37","47","0"
"32","1351","37","47","0"
"33","1351","37","47","0"
"34","1352","37","47","0"
"35","1352","37","47","0"
"36","1353","37","47","0"
"37","1354","37","47","0"
"38","1354","37","47","0"
"39","1355","37","47","0"
"40","1356","37","47","0"
"41","1356","37","47","0"
"42","1357","39","49","0"
"43","1357","39","49","0"
"44","1358","40","50","0"
