"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","3","0","0","0"
"2","15","0","0","0"
"3","57","0","0","0"
"4","169","22","22","0"
"5","468","49","49","0"
"6","1144","90","90","0"
"7","2718","118","118","0"
"8","5064","155","166","0"
"9","8951","186","204","0"
"10","15529","228","264","0"
"11","21675","281","331","0"
"12","28761","322","399","0"
"13","35904","374","475","0"
"14","42372","400","530","0"
"15","48949","419","582","0"
"16","54610","444","640","0"
"17","59146","455","681","0"
"18","62360","470","725","0"
"19","65202","483","772","0"
"20","67674","492","808","0"
"21","69958","505","846","0"
"22","71487","512","882","0"
"23","72630","525","925","0"
"24","73602","532","953","0"
"25","74344","541","988","0"
"26","74880","547","1020","0"
"27","75258","550","1039","0"
"28","75600","557","1063","0"
"29","75867","563","1096","0"
"30","76056","565","1118","0"
"31","76257","566","1136","0"
"32","76414","568","1149","0"
"33","76684","569","1164","0"
"34","76929","569","1181","0"
"35","77222","573","1199","0"
"36","77361","578","1211","0"
"37","77498","579","1223","0"
"38","77665","579","1228","0"
"39","77817","579","1235","0"
"40","77982","579","1246","0"
"41","78093","579","1251","0"
"42","78205","579","1254","0"
"43","78295","580","1260","0"
"44","78382","580","1265","0"
"45","78457","581","1270","0"
"46","78515","581","1273","0"
"47","78562","581","1276","0"
"48","78605","581","1276","0"
"49","78651","583","1280","0"
"50","78691","583","1281","0"
"51","78723","584","1286","0"
"52","78748","584","1286","0"
"53","78773","584","1288","0"
"54","78797","584","1289","0"
"55","78817","585","1292","0"
"56","78839","585","1294","0"
"57","78859","587","1297","0"
"58","78877","587","1298","0"
"59","78896","588","1300","0"
"60","78915","589","1301","0"
"61","78939","590","1302","0"
"62","78964","591","1304","0"
"63","78996","592","1307","0"
"64","79026","592","1309","0"
"65","79053","592","1310","0"
"66","79078","594","1313","0"
"67","79108","595","1316","0"
"68","79138","598","1320","0"
"69","79165","598","1322","0"
"70","79185","598","1322","0"
"71","79206","598","1323","0"
"72","79232","599","1326","0"
"73","79251","599","1327","0"
"74","79268","599","1329","0"
"75","79285","599","1329","0"
"76","79301","600","1332","0"
"77","79319","601","1334","0"
"78","79339","603","1338","0"
"79","79349","605","1341","0"
"80","79359","606","1343","0"
"81","79369","606","1344","0"
"82","79380","607","1345","0"
"83","79390","607","1345","0"
"84","79400","608","1348","0"
"85","79410","612","1352","0"
"86","79420","614","1356","0"
"87","79428","614","1357","0"
"88","79435","616","1361","0"
"89","79442","617","1362","0"
"90","79449","617","1365","0"
"91","79456","618","1366","0"
"92","79462","619","1370","0"
"93","79469","619","1373","0"
"94","79475","619","1373","0"
"95","79480","619","1373","0"
"96","79487","621","1379","0"
"97","79492","621","1380","0"
"98","79499","621","1380","0"
"99","79504","621","1381","0"
"100","79510","621","1382","0"
